Datum;Uhrzeit;Bezeichnung;Intervall;V21_AnfZ;V21_AnfB;V81_AnfZ;V81_AnfB;V381_AnfZ;V381_AnfB;TF38_AnfZ;TF38_AnfB;TF38a_AnfZ;TF38a_AnfB;TBS38_AnfZ;TBS38_AnfB;TBS38a_AnfZ;TBS38a_AnfB
19.08.2024;07:31;A151;1;2;44;2;15;0;0;0;0;1;4;0;0;0;0
19.08.2024;07:30;A151;1;2;61;3;21;0;0;0;0;4;14;0;0;0;0
19.08.2024;07:29;A151;1;3;20;2;15;0;0;0;0;3;10;1;1;0;0
19.08.2024;07:28;A151;1;2;12;5;20;0;0;0;0;0;0;0;0;0;0
19.08.2024;07:27;A151;1;2;21;3;19;0;0;0;0;3;9;0;0;0;0
19.08.2024;07:26;A151;1;4;15;5;22;0;0;0;0;1;4;0;0;0;0
19.08.2024;07:25;A151;1;1;12;2;30;0;0;0;0;4;8;0;0;0;0
19.08.2024;07:24;A151;1;2;32;2;18;0;0;0;0;2;6;0;0;0;0
19.08.2024;07:23;A151;1;2;11;3;23;0;0;0;0;3;3;0;0;0;0
19.08.2024;07:22;A151;1;4;23;2;9;0;0;0;0;3;15;0;0;0;0
19.08.2024;07:21;A151;1;1;21;2;32;0;0;0;0;1;2;0;0;0;0
19.08.2024;07:20;A151;1;3;21;3;21;0;0;0;0;1;2;0;0;0;0
19.08.2024;07:19;A151;1;4;18;4;17;0;0;0;0;1;2;0;0;0;0
19.08.2024;07:18;A151;1;2;20;1;14;0;0;0;0;2;2;0;0;0;0
19.08.2024;07:17;A151;1;2;13;6;23;0;0;0;0;2;4;0;0;0;0
19.08.2024;07:16;A151;1;1;7;1;27;0;0;0;0;1;1;0;0;0;0
19.08.2024;07:15;A151;1;3;22;3;12;0;0;0;0;1;3;0;0;0;0
19.08.2024;07:14;A151;1;2;16;2;16;0;0;0;0;0;0;0;0;0;0
19.08.2024;07:13;A151;1;3;34;2;17;0;0;0;0;1;3;0;0;0;0
19.08.2024;07:12;A151;1;2;21;1;9;1;1;0;0;2;28;0;0;0;0
19.08.2024;07:11;A151;1;2;11;4;19;0;0;0;0;4;10;0;0;0;0
19.08.2024;07:10;A151;1;2;12;4;16;0;0;0;0;4;6;0;0;0;0
19.08.2024;07:09;A151;1;4;27;2;12;0;0;0;0;3;6;0;0;0;0
19.08.2024;07:08;A151;1;0;0;2;9;0;0;0;0;1;2;0;0;0;0
19.08.2024;07:07;A151;1;1;22;2;9;0;0;0;0;0;0;0;0;0;0
19.08.2024;07:06;A151;1;3;65;3;60;0;0;0;0;1;22;0;0;0;0
19.08.2024;07:05;A151;1;3;19;0;0;1;1;0;0;2;4;0;0;0;0
19.08.2024;07:04;A151;1;1;30;2;9;0;0;0;0;1;7;0;0;0;0
19.08.2024;07:03;A151;1;3;27;1;12;1;1;0;0;2;4;0;0;0;0
19.08.2024;07:02;A151;1;3;17;1;5;0;0;0;0;1;1;0;0;0;0
19.08.2024;07:01;A151;1;2;21;2;19;0;0;0;0;0;0;0;0;0;0
19.08.2024;07:00;A151;1;3;24;3;23;0;0;0;0;1;1;0;0;0;0
19.08.2024;06:59;A151;1;0;0;2;21;0;0;0;0;0;0;0;0;0;0
19.08.2024;06:58;A151;1;2;21;0;1;0;0;0;0;2;4;0;0;0;0
19.08.2024;06:57;A151;1;2;29;3;25;0;0;0;0;0;0;0;0;0;0
19.08.2024;06:56;A151;1;2;14;2;8;0;0;0;0;4;6;0;0;0;0
19.08.2024;06:55;A151;1;1;17;3;21;0;0;0;0;0;0;0;0;0;0
19.08.2024;06:54;A151;1;2;11;4;19;0;0;0;0;2;4;0;0;0;0
19.08.2024;06:53;A151;1;2;18;0;0;0;0;0;0;2;4;0;0;0;0
19.08.2024;06:52;A151;1;5;55;5;42;0;0;0;0;0;0;0;0;0;0
19.08.2024;06:51;A151;1;2;13;2;12;0;0;0;0;1;2;0;0;0;0
19.08.2024;06:50;A151;1;1;14;3;22;0;0;0;0;1;2;0;0;0;0
19.08.2024;06:49;A151;1;2;15;2;11;0;0;0;0;0;0;0;0;0;0
19.08.2024;06:48;A151;1;2;24;1;21;0;0;0;0;2;4;0;0;0;0
19.08.2024;06:47;A151;1;1;5;4;29;0;0;0;0;1;1;0;0;0;0
19.08.2024;06:46;A151;1;3;24;2;13;0;0;0;0;1;2;0;0;0;0
19.08.2024;06:45;A151;1;3;56;1;12;0;0;0;0;1;2;0;0;0;0
19.08.2024;06:44;A151;1;1;9;2;2;0;0;0;0;0;0;0;0;0;0
19.08.2024;06:43;A151;1;4;37;3;14;0;0;0;0;1;2;0;0;0;0
19.08.2024;06:42;A151;1;3;21;2;9;0;0;0;0;1;1;0;0;0;0
19.08.2024;06:41;A151;1;5;40;2;27;0;0;0;0;1;2;0;0;0;0
19.08.2024;06:40;A151;1;1;18;2;10;0;0;0;0;1;1;0;0;0;0
19.08.2024;06:39;A151;1;1;15;3;20;0;0;0;0;0;0;0;0;0;0
