Datum;Uhrzeit;Bezeichnung;Intervall;V21Z;V21B;V22Z;V22B;V81Z;V81B;V82Z;V82B;V321Z;V321B;TF32aZ;TF32aB;TF32bZ;TF32bB;TBS32aZ;TBS32aB;TBS32bZ;TBS32bB;V1_IOZ;V1_IOB;V2_IOZ;V2_IOB;V3_IOZ;V3_IOB;EG21Z;EG21B;EG22Z;EG22B;EG23Z;EG23B;EG24Z;EG24B
08.03.2025;00:02;A 99;1;1;4;4;9;0;0;2;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
08.03.2025;00:01;A 99;1;0;0;0;0;0;0;1;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
08.03.2025;00:00;A 99;1;0;0;3;9;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.03.2025;23:59;A 99;1;2;3;7;14;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.03.2025;23:58;A 99;1;0;0;7;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.03.2025;23:57;A 99;1;1;1;5;10;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.03.2025;23:56;A 99;1;0;0;3;5;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.03.2025;23:55;A 99;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.03.2025;23:54;A 99;1;0;0;6;7;1;1;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.03.2025;23:53;A 99;1;0;0;4;7;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.03.2025;23:52;A 99;1;0;0;5;9;2;4;2;7;0;0;0;0;1;1;0;0;1;1;0;0;0;0;;;;;;;;;;
07.03.2025;23:51;A 99;1;1;1;0;0;1;3;2;17;0;0;0;0;1;1;0;0;0;0;0;0;0;0;;;;;;;;;;
07.03.2025;23:50;A 99;1;0;0;2;2;1;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.03.2025;23:49;A 99;1;0;0;2;1;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.03.2025;23:48;A 99;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.03.2025;23:47;A 99;1;0;0;2;4;1;1;4;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.03.2025;23:46;A 99;1;2;4;1;3;0;0;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.03.2025;23:45;A 99;1;0;0;0;0;0;0;3;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.03.2025;23:44;A 99;1;2;2;0;0;0;0;1;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.03.2025;23:43;A 99;1;0;0;0;0;0;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.03.2025;23:42;A 99;1;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.03.2025;23:41;A 99;1;0;0;4;4;0;0;1;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
