Datum;Uhrzeit;Bezeichnung;Intervall;V11Z;V11B;V12Z;V12B;V13Z;V13B;D21Z;D21B;D22Z;D22B;D23Z;D23B;D24Z;D24B;D31Z;D31B;D32Z;D32B;D33Z;D33B;V41Z;V41B;V42Z;V42B;V43Z;V43B;V44Z;V44B;MP1Z;MP1B;MP2Z;MP2B;MP3Z;MP3B;MP4_GZ;MP4_GB;MP4_LZ;MP4_LB;MP5_RZ;MP5_RB;MP6_RZ;MP6_RB;MP5_GZ;MP5_GB;MP6_GZ;MP6_GB;MP7Z;MP7B;MP8Z;MP8B;MP9Z;MP9B;Power_onZ;Power_onB;Fiber_reserveZ;Fiber_reserveB;LLB-TestZ;LLB-TestB;SyncZ;SyncB;foultZ;foultB
22.04.2024;14:44;A 41;1;7;29;8;21;7;68;0;0;0;0;12;80;0;58;3;49;1;1;5;81;1;98;9;76;1;67;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;14:43;A 41;1;1;98;3;94;1;100;0;0;0;0;8;78;1;6;5;68;2;65;2;93;2;78;20;49;5;76;3;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;14:42;A 41;1;6;55;5;64;0;100;0;0;0;0;7;49;3;33;3;58;6;62;1;50;3;89;2;3;4;60;0;48;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;14:41;A 41;1;6;28;7;59;1;92;0;0;0;0;14;56;0;0;4;96;4;77;3;46;3;60;4;28;7;35;2;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;14:40;A 41;1;2;2;4;7;2;86;0;0;0;0;5;56;0;17;7;68;6;71;1;56;1;84;1;10;7;92;1;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;14:39;A 41;1;8;70;4;67;3;76;0;0;0;0;3;47;1;60;5;46;4;6;0;0;4;47;1;6;1;90;1;32;0;0;0;0;0;0;0;0;0;0;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;14:38;A 41;1;6;25;7;25;0;100;0;0;0;0;11;65;2;23;3;70;1;32;0;0;5;72;1;31;5;9;4;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;14:37;A 41;1;9;17;9;27;1;99;0;0;0;0;10;71;1;38;2;28;3;24;0;0;3;85;1;19;5;48;2;93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;14:36;A 41;1;6;13;2;21;2;99;0;0;0;0;10;76;0;62;7;13;5;8;4;40;0;100;2;20;5;74;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;14:35;A 41;1;6;19;5;13;1;80;0;0;0;0;10;62;3;63;1;73;2;58;1;72;1;97;3;43;9;63;3;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;14:34;A 41;1;4;65;3;4;1;59;0;0;0;0;15;61;5;75;4;70;4;82;1;29;0;100;0;19;10;66;1;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;14:33;A 41;1;6;20;9;46;8;60;0;0;0;0;0;100;0;100;2;7;2;6;0;2;1;87;1;18;0;100;0;100;0;0;0;0;1;2;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;14:32;A 41;1;1;95;3;24;0;100;0;0;0;0;8;15;3;17;2;81;3;84;2;75;6;53;2;20;2;16;2;67;1;2;1;2;0;0;0;0;1;2;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;14:31;A 41;1;5;22;8;47;1;100;0;0;0;0;11;80;1;62;2;3;1;1;2;16;1;63;2;33;6;75;1;84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;14:30;A 41;1;4;57;0;100;0;100;0;0;0;0;9;15;3;15;6;85;7;85;2;86;4;30;1;6;2;17;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;14:29;A 41;1;4;14;4;86;1;99;0;0;0;0;7;14;2;11;1;66;1;52;2;38;4;54;6;66;5;59;1;92;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;14:28;A 41;1;4;10;0;100;0;100;0;0;0;0;8;66;3;3;3;58;1;2;1;94;4;89;3;35;9;47;2;89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;14:27;A 41;1;4;79;6;52;2;88;0;0;0;0;9;23;3;3;4;76;7;81;3;60;1;65;2;33;11;44;1;57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;14:26;A 41;1;4;13;5;17;0;76;0;0;0;0;5;59;3;2;2;57;0;55;2;57;4;65;3;25;4;34;1;53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;14:23;A 41;1;4;42;8;25;2;74;0;0;0;0;8;85;1;2;3;34;3;20;6;83;0;100;4;60;4;87;1;74;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;14:21;A 41;1;2;92;1;25;1;100;0;0;0;0;14;40;1;23;1;5;1;4;1;8;5;82;2;26;4;25;2;12;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22.04.2024;14:19;A 41;1;3;65;5;23;0;84;0;0;0;0;4;40;1;4;3;69;2;59;2;93;2;88;4;26;3;5;3;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
