Datum;Uhrzeit;Bezeichnung;Intervall;D21Z;D21B;D22Z;D22B;V23Z;V23B;V24Z;V24B;D81Z;D81B;D82Z;D82B;V83Z;V83B;V84Z;V84B;D111Z;D111B;D112Z;D112B;V113Z;V113B;V114Z;V114B;D115Z;D115B;TF41Z;TF41B;TBS41Z;TBS41B;EG23Z;EG23B;EG24Z;EG24B;V1_StoerZ;V1_StoerB;V2_StoerZ;V2_StoerB;V3_StoerZ;V3_StoerB;FW_AnfoZ;FW_AnfoB
09.08.2024;01:12;A 24;1;2;1;0;0;3;17;0;0;1;0;1;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;01:11;A 24;1;0;0;1;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;01:10;A 24;1;0;0;1;0;0;0;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;01:09;A 24;1;1;0;1;1;1;4;3;3;0;0;1;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;01:08;A 24;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;01:07;A 24;1;3;2;0;0;4;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;01:06;A 24;1;1;1;0;0;3;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;01:05;A 24;1;1;1;2;1;3;7;2;2;0;0;1;4;0;0;1;7;1;3;1;0;1;3;1;5;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;01:04;A 24;1;0;0;0;0;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;01:03;A 24;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;01:02;A 24;1;0;0;1;1;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;01:01;A 24;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;01:00;A 24;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;5;1;13;0;0;1;6;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;00:59;A 24;1;1;0;0;0;1;6;0;0;1;0;1;1;1;7;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;00:58;A 24;1;0;0;0;0;0;0;0;0;1;1;2;1;2;4;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;00:57;A 24;1;0;0;0;0;0;0;0;0;2;2;2;3;4;13;3;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;00:56;A 24;1;0;0;1;0;0;0;3;4;0;0;2;2;0;0;2;15;1;26;0;0;1;3;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;00:55;A 24;1;1;1;0;0;2;8;0;0;1;0;1;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;00:54;A 24;1;1;1;0;0;1;7;0;0;1;0;1;0;0;0;0;1;0;0;1;19;0;0;1;7;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;00:53;A 24;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;00:52;A 24;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;00:51;A 24;1;2;2;0;0;1;11;0;0;1;0;1;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;00:50;A 24;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;15;0;0;2;5;1;7;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;00:49;A 24;1;1;0;2;1;1;5;4;8;0;0;1;1;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;00:48;A 24;1;3;3;1;1;3;12;2;4;0;0;0;0;0;0;0;0;1;23;0;0;1;4;1;7;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;00:47;A 24;1;2;2;0;0;5;9;0;0;0;0;2;2;0;0;2;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;00:46;A 24;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;3;1;25;1;1;1;4;1;2;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;00:45;A 24;1;0;0;0;0;0;0;0;0;0;0;1;6;0;0;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;00:44;A 24;1;0;0;1;0;0;0;2;4;0;0;2;10;0;0;2;11;1;24;0;0;1;5;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;00:43;A 24;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;00:42;A 24;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;00:41;A 24;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;00:40;A 24;1;1;0;1;0;1;4;1;2;1;1;1;0;1;7;1;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;00:39;A 24;1;1;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;1;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;00:38;A 24;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;1;5;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;00:37;A 24;1;3;4;2;2;4;12;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;00:36;A 24;1;2;1;0;0;2;12;0;0;0;0;1;1;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;00:35;A 24;1;0;0;0;0;0;0;0;0;1;0;1;1;1;4;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;00:34;A 24;1;3;3;1;1;3;20;3;3;1;0;1;0;1;5;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;00:33;A 24;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;00:32;A 24;1;2;31;1;19;4;15;2;8;0;0;0;0;0;0;0;0;2;3;0;0;1;2;1;1;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;00:31;A 24;1;0;0;0;0;0;0;0;0;1;0;1;0;1;5;0;0;0;0;0;0;1;22;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;00:30;A 24;1;2;2;1;1;1;8;1;4;1;0;2;2;0;0;2;9;1;6;1;19;1;7;1;2;0;0;0;0;0;0;0;0;;;;;;;;;;
