Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D21Z;D21B;D22Z;D22B;D23Z;D23B;D31Z;D31B;D32Z;D32B;Anf_32Z;Anf_32B
21.06.2024;23:44;A182;1;5;11;2;3;0;0;0;0;0;0;2;1;2;1;0;0
21.06.2024;23:43;A182;1;1;12;1;7;2;29;1;47;0;0;2;2;0;0;0;0
21.06.2024;23:42;A182;1;0;0;0;0;1;2;0;0;0;0;1;5;1;1;2;4
21.06.2024;23:41;A182;1;1;4;2;7;2;4;2;8;0;0;3;4;3;4;0;0
21.06.2024;23:40;A182;1;3;12;2;8;2;42;1;19;0;0;0;0;0;0;0;0
21.06.2024;23:39;A182;1;0;0;1;3;1;4;0;27;0;0;0;0;5;5;1;1
21.06.2024;23:38;A182;1;1;3;3;27;3;35;3;45;0;0;3;5;1;1;0;0
21.06.2024;23:37;A182;1;0;0;2;16;1;78;0;0;0;0;2;1;3;2;0;0
21.06.2024;23:36;A182;1;3;13;2;7;0;0;1;32;0;0;2;1;2;17;0;0
21.06.2024;23:35;A182;1;0;0;2;8;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;23:34;A182;1;0;0;0;0;0;55;0;0;0;0;1;1;1;1;0;0
21.06.2024;23:33;A182;1;2;2;3;13;3;39;1;0;0;0;1;11;1;14;0;0
21.06.2024;23:32;A182;1;0;0;1;3;2;35;0;0;0;0;4;56;6;50;0;0
21.06.2024;23:31;A182;1;3;12;2;6;0;0;1;27;0;0;0;0;6;5;1;3
21.06.2024;23:30;A182;1;3;10;4;30;1;45;0;0;0;0;2;2;3;2;1;1
21.06.2024;23:29;A182;1;1;7;5;16;3;4;2;52;0;0;3;4;2;2;0;0
21.06.2024;23:28;A182;1;1;9;1;7;1;49;0;0;0;0;0;0;5;7;0;0
21.06.2024;23:27;A182;1;1;9;2;10;1;2;0;0;0;0;2;1;4;7;0;0
21.06.2024;23:26;A182;1;1;3;4;20;6;9;2;21;0;0;0;0;2;3;0;0
21.06.2024;23:25;A182;1;2;8;3;12;3;8;1;43;0;0;0;0;6;19;1;2
21.06.2024;23:24;A182;1;0;0;2;7;2;28;0;0;0;0;4;2;0;0;0;0
21.06.2024;23:23;A182;1;4;29;3;7;2;3;0;0;0;0;4;10;0;0;0;0
21.06.2024;23:22;A182;1;0;0;2;6;2;38;1;24;0;0;0;0;2;1;2;6
21.06.2024;23:21;A182;1;3;16;5;36;2;26;0;0;0;0;1;1;2;2;0;0
21.06.2024;23:20;A182;1;4;18;3;17;1;12;0;55;0;0;2;2;2;2;2;6
21.06.2024;23:19;A182;1;0;0;3;10;2;5;1;4;0;0;2;1;1;1;0;0
21.06.2024;23:18;A182;1;1;5;3;26;2;7;1;8;0;0;5;4;2;1;0;0
21.06.2024;23:17;A182;1;1;59;1;24;2;27;0;0;0;0;4;2;3;2;0;0
21.06.2024;23:16;A182;1;3;16;7;29;3;50;1;63;0;0;4;2;6;6;0;0
21.06.2024;23:15;A182;1;4;9;2;15;0;0;0;2;0;0;0;0;0;0;1;1
21.06.2024;23:14;A182;1;2;21;6;30;0;0;2;79;0;0;1;1;6;5;0;0
21.06.2024;23:13;A182;1;3;25;2;17;0;0;1;17;0;0;2;6;2;2;0;0
21.06.2024;23:12;A182;1;1;4;3;10;0;14;1;41;0;0;0;0;2;1;0;0
21.06.2024;23:11;A182;1;2;19;2;13;1;37;1;19;0;0;0;0;1;1;0;0
21.06.2024;23:10;A182;1;1;3;1;2;5;6;1;1;0;0;1;1;9;9;0;0
21.06.2024;23:09;A182;1;4;14;4;17;1;24;0;0;0;0;6;23;1;1;0;0
21.06.2024;23:08;A182;1;0;0;2;10;1;31;1;25;0;0;4;4;1;1;0;0
21.06.2024;23:07;A182;1;1;3;4;19;1;4;0;0;0;0;1;1;3;4;0;0
21.06.2024;23:06;A182;1;0;0;4;10;0;0;0;0;0;0;2;2;6;3;2;3
21.06.2024;23:05;A182;1;3;9;1;14;2;68;0;0;0;0;0;0;2;1;3;6
21.06.2024;23:04;A182;1;0;0;0;0;1;39;0;0;0;0;2;1;4;2;0;0
21.06.2024;23:03;A182;1;0;0;3;16;3;28;2;57;0;0;0;0;1;2;0;0
21.06.2024;23:02;A182;1;2;5;1;8;1;1;0;0;0;0;0;0;3;2;0;0
21.06.2024;23:01;A182;1;0;0;3;13;3;5;1;1;0;0;0;0;2;1;0;0
21.06.2024;23:00;A182;1;0;0;2;7;1;1;1;52;0;0;0;0;2;2;0;0
21.06.2024;22:59;A182;1;0;0;1;2;3;8;0;0;0;0;0;0;7;5;0;0
21.06.2024;22:58;A182;1;1;10;3;26;5;44;1;16;0;0;2;2;0;0;1;1
21.06.2024;22:57;A182;1;3;5;4;10;1;41;1;35;0;0;2;1;3;2;0;0
21.06.2024;22:56;A182;1;4;12;3;30;1;19;0;0;0;0;2;5;0;0;0;0
21.06.2024;22:55;A182;1;1;5;4;19;2;53;2;4;0;0;0;0;0;0;5;13
21.06.2024;22:54;A182;1;1;52;4;43;4;43;1;27;0;0;0;0;6;5;0;0
21.06.2024;22:53;A182;1;5;11;4;43;0;0;0;0;0;0;0;0;2;66;2;2
21.06.2024;22:52;A182;1;0;0;4;24;1;23;1;1;0;0;0;0;0;0;0;0
21.06.2024;22:51;A182;1;0;0;6;26;2;50;0;0;0;0;0;0;5;5;0;0
21.06.2024;22:50;A182;1;3;8;8;29;2;31;1;12;0;0;2;2;1;1;0;0
