Datum;Uhrzeit;Bezeichnung;Intervall;V21Z;V21B;V22Z;V22B;D51Z;D51B;D81Z;D81B;D82Z;D82B;D91Z;D91B;D41Z;D41B;D42_1Z;D42_1B;_FG32Z;_FG32B;_FG33Z;_FG33B;_FG38Z;_FG38B;V83Z;V83B;V84Z;V84B;V92Z;V92B;V43Z;V43B;V44Z;V44B
28.09.2024;01:03;A 11;1;1;20;3;23;0;0;2;2;1;1;0;0;0;100;0;100;0;0;0;0;0;0;6;18;2;9;1;8;0;0;0;0
28.09.2024;01:02;A 11;1;1;11;0;0;0;0;0;0;2;2;0;0;0;100;0;100;0;0;0;0;0;0;4;7;3;10;2;10;0;0;0;0
28.09.2024;01:01;A 11;1;0;0;0;0;0;0;0;0;1;1;0;0;0;100;0;100;0;0;0;0;0;0;1;4;2;8;1;14;2;3;0;0
28.09.2024;01:00;A 11;1;0;0;2;31;0;0;2;4;1;2;0;0;0;100;0;100;0;0;0;0;0;0;8;26;2;12;1;7;0;0;2;6
28.09.2024;00:59;A 11;1;4;25;4;20;1;0;1;2;2;2;0;0;0;100;0;100;0;0;0;0;0;0;1;23;2;12;1;12;0;0;0;0
28.09.2024;00:58;A 11;1;2;10;1;3;0;0;1;2;1;2;0;0;0;100;0;100;0;0;0;0;0;0;0;60;3;6;1;13;0;0;0;0
28.09.2024;00:57;A 11;1;2;13;1;1;1;1;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
28.09.2024;00:56;A 11;1;4;12;0;0;2;1;1;0;2;2;0;0;0;100;0;100;0;0;0;0;0;0;1;4;4;15;1;13;0;0;0;0
28.09.2024;00:55;A 11;1;0;12;1;9;1;0;1;1;1;2;0;0;0;100;0;100;0;0;0;0;0;0;5;16;4;16;3;12;0;0;0;0
28.09.2024;00:54;A 11;1;1;2;3;20;0;0;1;1;0;0;0;0;0;100;0;100;0;0;0;0;0;0;1;12;0;0;0;0;1;5;0;0
28.09.2024;00:53;A 11;1;1;5;7;23;0;0;1;1;0;0;0;0;0;100;0;100;0;0;0;0;0;0;3;10;0;0;0;0;0;0;0;0
28.09.2024;00:52;A 11;1;0;0;0;0;1;0;1;1;3;3;0;0;0;100;0;100;0;0;0;0;0;0;3;14;7;22;1;8;0;0;0;0
28.09.2024;00:51;A 11;1;0;0;2;15;0;0;3;2;3;5;0;0;0;100;0;100;0;0;0;0;0;0;4;17;4;47;4;24;0;0;0;0
28.09.2024;00:50;A 11;1;5;16;1;2;0;0;2;3;2;2;0;0;0;100;0;100;0;0;0;0;0;0;4;18;5;20;2;16;1;8;1;6
28.09.2024;00:49;A 11;1;1;32;2;25;0;0;3;2;2;3;0;0;0;100;0;100;0;0;0;0;0;0;2;20;5;22;2;17;1;7;0;0
28.09.2024;00:48;A 11;1;3;43;0;0;0;0;1;1;2;2;0;0;0;100;0;100;0;0;0;0;0;0;3;22;2;14;2;4;0;0;0;0
28.09.2024;00:47;A 11;1;1;9;0;0;2;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;1;3;1;4;0;0;1;3;0;0
28.09.2024;00:46;A 11;1;0;0;3;7;0;0;1;1;2;1;1;1;0;100;0;100;0;0;0;0;0;0;4;15;3;15;2;11;0;0;0;0
28.09.2024;00:45;A 11;1;1;18;2;9;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;00:44;A 11;1;1;8;3;27;0;0;1;1;2;2;0;0;0;100;0;100;0;0;0;0;1;2;8;26;5;15;1;2;0;0;0;0
28.09.2024;00:43;A 11;1;1;29;0;0;0;0;1;2;2;2;0;0;0;100;0;100;0;0;0;0;0;0;2;15;2;10;1;7;0;0;0;0
28.09.2024;00:42;A 11;1;8;28;2;11;0;0;0;0;0;0;1;2;0;100;0;100;0;0;0;0;0;0;0;0;2;5;1;39;1;1;2;10
28.09.2024;00:41;A 11;1;0;0;2;19;0;0;4;3;2;3;7;10;0;100;0;100;0;0;0;0;0;0;4;32;3;23;2;36;2;7;1;7
28.09.2024;00:40;A 11;1;1;13;2;10;0;0;0;0;1;1;0;0;0;100;0;100;0;0;0;0;0;0;2;3;3;4;2;14;0;0;0;0
28.09.2024;00:39;A 11;1;5;26;1;1;0;0;1;1;3;5;0;0;0;100;0;100;0;0;0;0;0;0;3;17;4;33;2;17;0;0;1;8
