Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D13Z;D13B;D21Z;D21B;D22Z;D22B;D23Z;D23B;D31Z;D31B;D32Z;D32B;D33Z;D33B;D41Z;D41B;D42Z;D42B;D43Z;D43B;D44Z;D44B;HH51_M1_4501Z;HH51_M1_4501B;AH51_M2_4502Z;AH51_M2_4502B;HH55_M3_2137Z;HH55_M3_2137B;AH55_M4_2138Z;AH55_M4_2138B;Schluessel_S51Z;Schluessel_S51B;Schluessel_S55Z;Schluessel_S55B;D10Z;D10B;21Z;21B;22Z;22B;23Z;23B;24Z;24B;25Z;25B;26Z;26B;27Z;27B;Power_onZ;Power_onB;Fiber_reserveZ;Fiber_reserveB;LLB-TestZ;LLB-TestB;SyncZ;SyncB;foultZ;foultB
08.05.2024;19:25;A 13;1;0;100;0;100;1;91;1;2;3;6;3;79;1;1;3;3;4;89;2;2;4;49;1;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;19:24;A 13;1;0;100;0;100;1;22;4;26;6;28;3;48;0;0;0;0;2;96;0;0;9;28;0;58;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;19:23;A 13;1;0;100;0;100;0;31;3;56;4;59;1;87;3;4;10;61;3;90;1;1;3;87;1;41;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;19:22;A 13;1;0;100;0;100;1;89;4;8;4;5;6;54;2;3;3;4;3;88;1;2;11;56;2;64;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;19:21;A 13;1;0;100;0;100;1;86;4;45;2;5;6;87;0;0;0;0;0;1;0;0;4;42;1;14;0;0;0;0;1;2;0;0;1;2;0;0;0;0;1;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;19:20;A 13;1;0;100;0;100;1;57;4;37;1;0;1;83;0;0;2;3;4;93;3;6;5;61;2;11;0;0;1;2;0;0;1;2;0;0;0;0;0;0;3;3;1;2;1;2;;;;;;;;;;;;;;;;;;;;
08.05.2024;19:19;A 13;1;0;100;0;100;1;59;5;13;2;3;2;70;0;0;4;29;4;87;1;1;3;31;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;19:18;A 13;1;0;100;0;100;4;88;4;14;3;3;3;54;0;0;3;35;0;100;1;1;9;36;3;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;19:17;A 13;1;0;100;0;100;2;83;1;5;1;1;1;66;1;1;6;25;1;8;2;3;5;43;5;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;9;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;19:16;A 13;1;0;100;0;100;1;82;7;17;5;5;4;69;2;5;3;3;1;23;2;2;8;72;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;19:15;A 13;1;0;100;0;100;3;85;5;12;4;24;2;22;1;1;1;1;0;0;3;3;16;62;3;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;19:14;A 13;1;0;100;0;100;3;86;3;6;4;35;1;50;3;7;3;3;2;41;1;1;4;59;2;90;0;0;0;0;1;2;0;0;0;0;0;0;0;0;3;4;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;19:13;A 13;1;0;100;0;100;0;100;5;55;3;19;4;69;3;4;5;10;0;37;4;3;8;53;1;87;0;0;1;2;0;0;0;0;0;0;0;0;0;0;3;2;1;2;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;19:12;A 13;1;0;100;0;100;1;85;4;12;6;13;4;54;1;1;3;5;1;87;0;0;13;32;5;60;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;19:11;A 13;1;0;100;0;100;2;44;3;5;3;5;0;100;4;23;10;17;2;90;0;0;4;77;4;89;0;0;0;0;0;0;0;0;1;2;0;0;0;0;4;9;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;19:10;A 13;1;0;100;0;100;1;92;6;68;4;71;4;86;2;9;4;14;1;76;4;4;7;72;0;100;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;2;;;;;;;;;;;;;;;;;;;;
08.05.2024;19:09;A 13;1;0;100;0;100;2;25;7;9;7;48;1;26;2;4;2;4;2;91;4;3;15;59;4;91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;5;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;19:08;A 13;1;0;100;0;100;1;32;2;3;3;5;1;19;1;1;6;44;2;94;1;0;6;85;4;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;19:07;A 13;1;0;100;0;100;0;0;6;79;4;18;0;0;1;2;6;7;1;22;2;1;12;71;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;19:06;A 13;1;0;100;0;100;2;84;4;14;3;7;0;0;1;1;2;3;0;0;4;3;13;18;4;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;19:05;A 13;1;0;100;0;100;1;40;2;4;1;2;0;0;0;0;6;10;0;89;3;2;4;6;4;77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;19:04;A 13;1;0;100;0;100;1;54;3;41;6;5;2;33;0;0;8;8;1;46;0;0;10;77;0;100;1;0;0;0;0;0;0;0;0;2;0;0;0;0;4;4;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;19:03;A 13;1;0;100;0;100;3;76;6;24;4;7;1;18;2;3;0;0;1;1;3;4;13;32;4;85;0;0;0;0;0;0;1;2;1;0;0;0;0;0;4;5;0;0;1;2;;;;;;;;;;;;;;;;;;;;
08.05.2024;19:02;A 13;1;0;100;0;100;1;16;2;5;1;1;0;100;2;1;5;5;2;94;1;1;6;88;5;48;0;0;1;2;1;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;19:01;A 13;1;0;100;0;100;0;0;4;8;2;72;4;74;6;7;0;0;1;64;3;1;11;78;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;19:00;A 13;1;0;100;0;100;2;85;10;23;9;42;4;49;0;0;1;2;1;20;1;0;13;42;4;86;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
