Datum;Uhrzeit;Bezeichnung;Intervall;D51Z;D51B;D52Z;D52B;V51Z;V51B;D111Z;D111B;V111Z;V111B;D112Z;D112B;TF35aZ;TF35aB;TB35aZ;TB35aB;TF35bZ;TF35bB;TB35bZ;TB35bB
07.10.2024;23:58;A149;1;1;6;1;3;2;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.10.2024;23:57;A149;1;2;0;0;0;0;0;3;2;3;25;3;3;0;0;0;0;0;0;0;0
07.10.2024;23:56;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.10.2024;23:55;A149;1;1;1;1;0;1;11;1;0;1;12;1;1;0;0;0;0;0;0;0;0
07.10.2024;23:54;A149;1;0;0;0;0;0;0;1;1;1;13;1;1;0;0;0;0;0;0;0;0
07.10.2024;23:53;A149;1;2;2;2;1;2;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.10.2024;23:52;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.10.2024;23:51;A149;1;0;0;0;0;0;0;1;0;1;6;1;0;0;0;0;0;0;0;0;0
07.10.2024;23:50;A149;1;2;2;1;0;1;11;1;1;1;9;1;1;0;0;0;0;0;0;0;0
07.10.2024;23:49;A149;1;1;1;2;1;2;20;1;1;1;11;1;1;0;0;0;0;0;0;0;0
07.10.2024;23:48;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.10.2024;23:47;A149;1;1;0;1;0;1;7;1;0;1;11;1;1;1;1;1;1;0;0;0;0
07.10.2024;23:46;A149;1;1;1;1;1;1;17;1;1;1;11;0;0;0;0;0;0;0;0;0;0
07.10.2024;23:45;A149;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
07.10.2024;23:44;A149;1;1;1;1;0;1;9;2;1;0;8;0;0;0;0;0;0;0;0;0;0
07.10.2024;23:43;A149;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0
07.10.2024;23:42;A149;1;1;0;1;0;0;0;1;1;1;14;1;1;0;0;0;0;0;0;0;0
07.10.2024;23:41;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.10.2024;23:40;A149;1;1;0;1;0;1;11;1;0;0;0;1;0;0;0;0;0;0;0;0;0
07.10.2024;23:39;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.10.2024;23:38;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.10.2024;23:37;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.10.2024;23:36;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.10.2024;23:35;A149;1;3;5;2;1;0;0;2;8;1;27;2;31;0;0;0;0;0;0;0;0
07.10.2024;23:34;A149;1;2;1;2;1;1;11;1;2;1;10;1;1;1;1;0;0;0;0;0;0
07.10.2024;23:33;A149;1;1;1;1;0;1;10;0;0;0;0;1;0;0;0;0;0;0;0;0;0
07.10.2024;23:32;A149;1;1;1;1;0;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.10.2024;23:31;A149;1;1;1;1;0;1;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.10.2024;23:30;A149;1;2;2;2;1;2;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.10.2024;23:29;A149;1;2;2;1;0;2;16;2;1;0;1;0;0;0;0;0;0;0;0;0;0
07.10.2024;23:28;A149;1;1;1;2;1;1;11;0;0;1;8;1;0;0;0;0;0;0;0;0;0
07.10.2024;23:27;A149;1;2;1;1;0;0;0;3;5;2;26;3;5;0;0;0;0;0;0;0;0
07.10.2024;23:26;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.10.2024;23:25;A149;1;0;8;0;0;1;2;3;0;0;0;2;2;0;0;0;0;0;0;0;0
07.10.2024;23:24;A149;1;4;13;4;5;3;44;2;1;1;8;2;1;0;0;0;0;0;0;0;0
07.10.2024;23:23;A149;1;1;1;1;1;1;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0
