Datum;Uhrzeit;Bezeichnung;Intervall;ReserveZ;ReserveB;V12Z;V12B;V21Z;V21B;V22Z;V22B;V23Z;V23B;V24Z;V24B;D31Z;D31B;D32Z;D32B;AF_T1_T2Z;AF_T1_T2B;AF_T3_T4Z;AF_T3_T4B;AF_BS_32Z;AF_BS_32B;AF_BS_35Z;AF_BS_35B;AF_BS_38Z;AF_BS_38B;AF_BS_41Z;AF_BS_41B
04.12.2024;23:43;A 28;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;23:42;A 28;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;23:41;A 28;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;23:40;A 28;1;0;0;0;0;0;0;1;3;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;23:39;A 28;1;0;0;0;22;0;0;1;2;1;1;1;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;23:38;A 28;1;0;0;5;32;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;23:37;A 28;1;0;0;0;0;0;0;0;0;0;0;0;0;1;23;1;22;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;23:36;A 28;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;23:35;A 28;1;0;0;0;0;0;0;6;12;0;0;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;23:34;A 28;1;0;0;0;0;0;0;3;4;3;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;23:33;A 28;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;23:32;A 28;1;0;0;2;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;23:31;A 28;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;23:30;A 28;1;0;0;0;0;0;0;2;6;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;23:29;A 28;1;0;0;0;0;0;0;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;23:28;A 28;1;0;0;0;0;0;0;2;50;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;23:27;A 28;1;0;0;3;9;0;0;2;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;23:26;A 28;1;0;0;0;0;0;0;0;0;1;1;0;0;1;23;1;21;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;23:25;A 28;1;0;0;0;0;0;0;1;2;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;23:24;A 28;1;0;0;1;20;0;0;4;7;0;0;1;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;23:23;A 28;1;0;0;0;0;0;0;2;15;1;29;0;31;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;23:22;A 28;1;0;0;1;21;0;0;2;2;5;10;3;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;23:21;A 28;1;0;0;1;6;0;0;2;67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;23:20;A 28;1;0;0;1;18;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;23:19;A 28;1;0;0;0;0;0;0;5;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;23:18;A 28;1;0;0;2;1;0;0;2;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;23:17;A 28;1;0;0;0;0;0;0;1;1;0;0;0;0;0;24;1;4;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;23:16;A 28;1;0;0;1;3;0;0;2;25;0;0;2;20;2;23;1;18;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;23:15;A 28;1;0;0;3;13;0;0;0;0;2;20;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;23:14;A 28;1;0;0;2;2;0;0;1;1;2;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;23:13;A 28;1;0;0;0;0;0;0;2;3;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;23:12;A 28;1;0;0;1;22;0;0;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;23:11;A 28;1;0;0;3;58;0;0;6;25;4;6;1;1;1;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;23:10;A 28;1;0;0;0;0;0;0;3;22;0;0;1;4;1;24;2;25;0;0;0;0;0;0;0;0;0;0;0;0
