Datum;Uhrzeit;Bezeichnung;Intervall;D21Z;D21B;V22Z;V22B;D51Z;D51B;V52Z;V52B;D81Z;D81B;V82Z;V82B;D111Z;D111B;V112Z;V112B;TF32Z;TF32B;TF35Z;TF35B;TF38Z;TF38B;TF41Z;TF41B;TB32Z;TB32B;TB35Z;TB35B;TB38Z;TB38B;TB41Z;TB41B
14.12.2024;00:11;A 35;1;0;0;0;0;2;2;3;8;0;0;0;0;3;2;3;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.12.2024;00:10;A 35;1;2;0;0;0;2;2;2;9;0;0;0;0;6;8;4;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.12.2024;00:09;A 35;1;2;0;1;6;1;0;1;2;0;0;0;0;5;5;4;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.12.2024;00:08;A 35;1;0;0;0;0;4;9;3;22;0;0;0;0;2;2;3;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.12.2024;00:07;A 35;1;0;0;0;0;1;1;2;4;1;25;3;11;8;22;3;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.12.2024;00:06;A 35;1;0;0;0;0;1;0;1;3;0;0;0;0;3;4;6;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.12.2024;00:05;A 35;1;0;0;0;0;5;11;1;27;2;56;2;17;3;4;3;21;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0
14.12.2024;00:04;A 35;1;0;0;0;0;4;6;1;16;1;17;3;12;4;4;3;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.12.2024;00:03;A 35;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.12.2024;00:02;A 35;1;0;0;0;0;3;7;6;15;2;0;2;7;2;4;1;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.12.2024;00:01;A 35;1;0;0;0;0;4;26;1;51;0;0;0;0;8;11;3;63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14.12.2024;00:00;A 35;1;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;23:59;A 35;1;0;0;0;0;1;0;2;2;0;0;0;0;2;8;4;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;23:58;A 35;1;1;57;1;6;1;0;1;3;0;0;0;0;5;28;1;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;23:57;A 35;1;1;5;0;0;1;0;1;3;0;0;0;0;6;10;4;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;23:56;A 35;1;0;0;0;0;4;6;6;29;0;0;0;0;2;2;2;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;23:55;A 35;1;0;0;0;0;1;1;1;5;0;0;0;0;3;3;1;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;23:54;A 35;1;0;0;0;0;1;1;2;5;0;0;0;0;4;24;12;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;23:53;A 35;1;0;0;0;0;7;12;5;38;0;0;0;0;7;8;3;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;23:52;A 35;1;0;0;0;0;2;7;8;18;1;0;0;0;4;3;3;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;23:51;A 35;1;0;0;0;0;3;3;5;8;0;0;0;0;3;3;3;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;23:50;A 35;1;0;0;0;0;1;0;2;1;0;0;0;0;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;23:49;A 35;1;2;32;1;6;3;3;4;10;3;6;1;12;6;6;3;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;23:48;A 35;1;0;0;0;0;2;2;2;12;0;0;0;0;1;1;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;23:47;A 35;1;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;23:46;A 35;1;0;0;0;0;1;1;2;8;0;0;0;0;4;6;2;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
