Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D21Z;D21B;H51_A74/M1S_493Z;H51_A74/M1S_493B;A51_M1S_494Z;A51_M1S_494B;H55_A30/M3S_504Z;H55_A30/M3S_504B;A55_M3S_505Z;A55_M3S_505B;H54_M3SL_1289Z;H54_M3SL_1289B;A54_M4SL_506Z;A54_M4SL_506B;Power_onZ;Power_onB;Fiber_reserveZ;Fiber_reserveB;LLB-TestZ;LLB-TestB;SyncZ;SyncB;foultZ;foultB
10.12.2024;15:33;A110;1;1;1;4;4;6;47;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;15:32;A110;1;3;2;3;5;7;7;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;15:31;A110;1;0;0;10;57;7;16;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;15:30;A110;1;2;2;4;4;7;65;0;0;1;2;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;15:29;A110;1;2;2;2;5;4;47;1;2;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;15:28;A110;1;1;1;4;9;9;11;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;15:27;A110;1;2;7;3;6;9;11;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;15:26;A110;1;1;6;3;15;6;8;0;0;0;0;1;2;1;2;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;15:25;A110;1;0;0;3;7;3;3;0;0;0;0;0;0;1;2;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;15:24;A110;1;0;0;5;27;5;68;0;0;1;2;1;2;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;15:23;A110;1;1;2;0;0;7;49;1;2;0;0;1;2;1;2;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;15:22;A110;1;0;0;2;12;10;55;0;0;0;0;0;0;1;2;1;2;1;2;;;;;0;0;0;0;0;0
10.12.2024;15:21;A110;1;5;9;8;32;4;18;0;0;0;0;1;2;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;15:20;A110;1;0;0;3;4;3;53;0;0;1;2;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;15:19;A110;1;0;0;4;13;6;23;1;2;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;15:18;A110;1;0;0;5;23;8;42;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;15:17;A110;1;2;1;5;6;5;47;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;15:16;A110;1;0;0;5;85;7;14;0;0;0;0;0;0;1;1;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;15:15;A110;1;3;4;10;56;6;54;0;0;0;2;1;2;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;15:14;A110;1;3;4;1;1;8;32;1;2;1;0;1;2;1;2;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;15:13;A110;1;0;0;2;4;11;44;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;15:12;A110;1;2;2;6;8;6;74;0;0;1;2;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;15:11;A110;1;1;3;2;4;8;17;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;15:10;A110;1;0;0;5;45;11;49;1;2;0;0;0;0;1;2;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;15:09;A110;1;2;2;7;55;6;43;0;0;0;0;1;2;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;15:08;A110;1;1;2;6;58;9;14;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;15:07;A110;1;1;1;2;35;11;26;0;0;0;0;0;0;1;2;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;15:06;A110;1;2;3;7;39;4;7;0;0;0;0;1;2;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;15:05;A110;1;2;2;6;14;7;16;0;0;1;2;1;2;1;2;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;15:04;A110;1;1;2;0;0;2;33;1;2;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;15:03;A110;1;3;7;4;9;3;24;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;15:02;A110;1;0;0;1;2;4;12;0;0;1;2;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;15:01;A110;1;1;1;2;1;7;30;1;2;0;0;0;0;1;2;1;2;1;2;;;;;0;0;0;0;0;0
10.12.2024;15:00;A110;1;1;1;2;3;9;11;0;0;0;0;1;2;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;14:59;A110;1;1;1;5;6;5;29;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;14:58;A110;1;3;2;1;1;5;47;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;14:57;A110;1;5;7;4;5;5;9;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;14:56;A110;1;1;11;2;35;9;18;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;14:55;A110;1;1;3;8;27;6;21;0;0;1;2;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;14:54;A110;1;0;0;3;34;7;36;1;2;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;14:53;A110;1;3;13;5;8;6;30;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;14:52;A110;1;3;14;6;26;7;7;0;0;0;0;0;0;1;2;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;14:51;A110;1;2;2;6;59;6;36;0;0;0;0;1;2;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;14:50;A110;1;2;2;2;3;8;17;0;0;1;2;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;14:49;A110;1;0;0;4;5;4;4;1;2;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;14:48;A110;1;1;1;5;10;12;19;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;14:47;A110;1;2;2;2;2;5;6;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;14:46;A110;1;2;3;6;9;9;11;0;0;0;0;0;0;1;2;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;14:45;A110;1;0;0;1;1;5;45;0;0;1;2;1;2;0;0;0;0;1;2;;;;;0;0;0;0;0;0
10.12.2024;14:44;A110;1;2;1;6;8;5;5;1;2;0;0;0;0;0;0;1;2;0;0;;;;;0;0;0;0;0;0
10.12.2024;14:43;A110;1;2;2;5;8;10;18;0;0;0;0;1;2;2;3;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;14:42;A110;1;1;14;8;14;5;40;0;0;1;2;1;2;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;14:41;A110;1;1;3;1;2;4;46;0;0;0;0;0;0;1;2;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;14:40;A110;1;2;4;5;20;6;71;1;2;0;0;1;2;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;14:39;A110;1;5;5;3;4;10;12;0;0;1;2;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;14:38;A110;1;1;1;7;28;2;2;1;2;1;2;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;14:37;A110;1;0;0;0;0;5;15;1;2;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
