Datum;Uhrzeit;Bezeichnung;Intervall;T1Z;T1B;T2Z;T2B;D23Z;D23B;V24Z;V24B;D81Z;D81B;D82Z;D82B;D83Z;D83B;V84Z;V84B;TF38Z;TF38B;TB38Z;TB38B;TF38aZ;TF38aB;TB38aZ;TB38aB;VK1_iOZ;VK1_iOB;VK2_iOZ;VK2_iOB
24.09.2024;01:07;A 61;1;0;0;0;0;0;0;0;0;67;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;01:06;A 61;1;0;0;0;0;0;0;0;0;14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;01:05;A 61;1;0;0;1;0;1;1;1;6;8;0;2;1;1;0;1;5;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;01:04;A 61;1;0;0;0;0;0;0;0;0;53;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;01:03;A 61;1;0;0;0;0;0;0;0;0;101;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;01:02;A 61;1;2;1;1;2;0;0;0;6;112;9;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;01:01;A 61;1;0;0;1;0;2;3;1;8;19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;01:00;A 61;1;0;0;0;0;0;0;0;0;40;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;00:59;A 61;1;0;0;0;0;0;0;0;0;7;0;1;1;1;1;1;7;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;00:58;A 61;1;0;0;0;0;1;0;0;0;11;0;2;1;2;1;1;7;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;00:57;A 61;1;0;0;0;0;0;0;0;0;33;2;1;0;1;0;1;5;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;00:56;A 61;1;0;0;0;0;0;0;0;0;125;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;00:55;A 61;1;0;0;0;0;0;0;0;0;63;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;00:54;A 61;1;0;0;0;0;0;0;0;0;22;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;00:53;A 61;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;00:52;A 61;1;0;0;0;0;0;0;0;0;67;5;1;0;1;0;1;6;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;00:51;A 61;1;0;0;0;0;0;0;0;0;134;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;00:50;A 61;1;0;0;1;0;0;0;1;2;129;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;00:49;A 61;1;0;0;0;0;0;0;0;0;104;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;00:48;A 61;1;0;0;0;0;0;0;0;0;95;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;00:47;A 61;1;0;0;0;0;0;0;0;0;114;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;00:46;A 61;1;0;0;0;0;0;0;0;0;19;1;1;1;1;1;1;7;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;00:45;A 61;1;0;0;0;0;1;0;0;0;8;0;1;1;1;1;1;7;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;00:44;A 61;1;1;0;1;1;1;1;1;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;00:43;A 61;1;0;0;0;0;0;0;0;0;34;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;00:42;A 61;1;0;0;0;0;0;0;0;0;113;12;1;1;1;1;2;5;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;00:41;A 61;1;0;0;0;0;0;0;0;0;106;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;00:40;A 61;1;0;0;0;0;0;0;0;0;100;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;00:39;A 61;1;0;0;1;0;1;0;1;7;103;14;1;1;1;1;2;6;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;00:38;A 61;1;1;4;0;0;0;0;0;0;82;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;00:37;A 61;1;0;0;0;0;0;0;0;0;20;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;00:36;A 61;1;0;0;0;0;0;0;0;0;45;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;00:35;A 61;1;1;0;1;0;1;0;1;7;35;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;00:34;A 61;1;0;0;0;0;0;0;0;0;20;2;1;1;1;1;1;8;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;00:33;A 61;1;0;0;0;0;0;0;0;0;8;1;1;1;1;1;1;7;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;00:32;A 61;1;0;0;0;0;0;0;0;0;15;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;00:31;A 61;1;0;0;0;0;0;0;0;0;14;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;00:30;A 61;1;2;3;2;4;1;3;2;17;2;0;4;5;5;7;1;12;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;00:29;A 61;1;1;0;2;1;3;3;3;19;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;00:28;A 61;1;0;0;0;0;0;0;0;0;54;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;00:27;A 61;1;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;5;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;00:26;A 61;1;4;4;4;5;4;6;5;31;11;2;2;2;2;3;1;0;0;0;0;0;0;0;0;0;0;100;0;100
