Datum;Uhrzeit;Bezeichnung;Intervall;V21Z;V21B;V22Z;V22B;V81Z;V81B;V82Z;V82B;V321Z;V321B;TF32aZ;TF32aB;TF32bZ;TF32bB;TBS32aZ;TBS32aB;TBS32bZ;TBS32bB;V1_IOZ;V1_IOB;V2_IOZ;V2_IOB;V3_IOZ;V3_IOB
04.07.2024;22:41;A103;1;1;3;7;24;2;7;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;22:40;A103;1;2;4;2;18;6;7;4;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;22:39;A103;1;0;0;4;14;2;1;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;22:38;A103;1;1;2;6;19;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;22:37;A103;1;4;8;6;18;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;22:36;A103;1;2;3;3;14;1;11;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;22:35;A103;1;2;2;6;26;2;4;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;22:34;A103;1;7;28;8;51;6;26;3;52;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0
04.07.2024;22:33;A103;1;2;4;2;17;0;0;0;0;1;1;0;0;1;2;0;0;1;8;0;0;0;0;0;0
04.07.2024;22:32;A103;1;2;6;5;17;5;17;5;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.07.2024;22:31;A103;1;0;0;2;10;1;3;6;6;0;0;0;0;0;0;0;0;1;7;0;0;0;0;0;0
