Datum;Uhrzeit;Bezeichnung;Intervall;V21Z;V21B;V22Z;V22B;V51Z;V51B;V52Z;V52B;V61Z;V61B;V62Z;V62B;V81Z;V81B;V82Z;V82B;D53Z;D53B;D54Z;D54B;D55Z;D55B;D63Z;D63B;D64Z;D64B;TA32Z;TA32B;TB32Z;TB32B;TA35Z;TA35B;TB35Z;TB35B;TA36Z;TA36B;TB36Z;TB36B;TA38Z;TA38B;TB38Z;TB38B;TA41Z;TA41B;TB41Z;TB41B
06.03.2024;23:45;A 23;1;1;6;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.03.2024;23:44;A 23;1;0;0;5;11;0;0;1;7;2;4;0;0;1;9;1;7;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0
06.03.2024;23:43;A 23;1;0;0;0;0;0;0;2;16;2;27;0;0;0;0;0;0;1;4;1;10;0;11;3;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.03.2024;23:42;A 23;1;0;0;3;9;1;5;1;2;2;6;0;0;0;0;0;0;0;0;0;0;1;35;1;16;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.03.2024;23:41;A 23;1;2;4;4;4;0;0;1;10;0;0;0;0;1;8;0;0;0;0;1;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.03.2024;23:40;A 23;1;1;4;0;0;1;4;2;20;1;7;0;0;1;11;2;17;1;3;1;44;1;29;1;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.03.2024;23:39;A 23;1;0;0;0;0;0;4;2;6;3;18;0;0;1;13;0;0;1;3;1;2;1;4;1;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.03.2024;23:38;A 23;1;0;0;0;0;1;12;1;9;0;12;0;0;1;7;1;6;0;0;0;0;0;0;3;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.03.2024;23:37;A 23;1;0;0;0;0;0;0;0;0;5;26;0;0;0;0;1;11;1;3;0;0;0;32;3;28;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.03.2024;23:36;A 23;1;4;13;0;0;2;21;2;11;3;10;0;0;1;4;0;0;1;3;1;8;2;15;1;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.03.2024;23:35;A 23;1;0;0;1;4;0;0;0;0;2;8;0;0;0;0;1;9;0;0;0;0;0;0;1;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.03.2024;23:34;A 23;1;0;0;3;33;0;0;1;9;3;5;0;0;0;0;0;0;0;0;1;20;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.03.2024;23:33;A 23;1;0;0;0;0;1;2;1;6;2;5;0;0;0;0;0;0;1;6;1;1;1;2;1;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0
06.03.2024;23:32;A 23;1;1;10;0;0;2;7;1;3;2;9;0;0;0;0;3;9;1;3;0;0;1;38;1;3;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.03.2024;23:31;A 23;1;0;0;0;0;0;22;2;29;1;27;0;0;0;0;0;0;2;5;3;26;1;22;2;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.03.2024;23:30;A 23;1;0;0;3;18;4;35;3;17;6;17;0;0;1;18;1;5;2;3;0;0;2;27;2;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
