Datum;Uhrzeit;Bezeichnung;Intervall;V111Z;V111B;V121Z;V121B;D21Z;D21B;D22Z;D22B;D23Z;D23B;V211Z;V211B;V221Z;V221B;V231Z;V231B;D33Z;D33B;V301Z;V301B;V311Z;V311B;V321Z;V321B;D41Z;D41B;D42Z;D42B;V411Z;V411B;V421Z;V421B;TA32Z;TA32B;TB32Z;TB32B;TA33Z;TA33B;TB33Z;TB33B;TA35Z;TA35B;TB35Z;TB35B;TA38Z;TA38B;TB38Z;TB38B;TA39Z;TA39B;TB39Z;TB39B;TA41Z;TA41B;TB41Z;TB41B;EG21Z;EG21B;EG22Z;EG22B;D11Z;D11B;D12Z;D12B;D30Z;D30B;D31Z;D31B;D32Z;D32B;V1_StoerZ;V1_StoerB;V2_StoerZ;V2_StoerB;V3_StoerZ;V3_StoerB;V4_StoerZ;V4_StoerB;A4_MP6Z;A4_MP6B;A22_MP1Z;A22_MP1B;A13_MP4Z;A13_MP4B;A45_MP2Z;A45_MP2B;A22_MP2Z;A22_MP2B
17.07.2024;12:10;A 22;1;2;3;3;16;1;0;5;6;0;0;6;40;0;0;2;51;0;0;1;63;1;59;0;0;1;4;1;2;0;0;0;0;2;2;0;0;1;26;0;1;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
17.07.2024;12:09;A 22;1;0;0;3;32;1;0;5;4;0;0;1;95;0;0;1;97;0;0;0;100;1;75;1;3;0;0;4;33;0;0;0;0;3;21;1;3;0;0;1;5;0;0;1;1;0;0;0;0;1;1;0;0;0;0;2;3;1;1;0;0;1;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
17.07.2024;12:02;A 22;1;0;0;4;69;0;0;6;6;0;0;3;75;1;1;1;73;0;0;2;88;1;78;0;0;0;0;2;53;0;0;1;0;3;2;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;;;;;;;;;;;;;;;;;;
17.07.2024;11:59;A 22;1;2;0;7;48;0;0;8;9;0;0;2;33;1;0;3;81;1;1;2;40;0;100;0;0;0;0;4;9;0;0;2;1;5;4;1;1;0;0;1;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
17.07.2024;11:56;A 22;1;0;0;1;6;1;0;2;4;0;0;2;37;1;19;3;46;0;20;2;44;2;57;0;0;0;0;3;6;0;0;0;0;3;2;0;0;0;20;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
17.07.2024;11:47;A 22;1;3;41;2;51;0;0;6;12;0;0;1;13;1;1;0;0;1;5;1;17;0;0;0;0;0;0;4;33;0;0;0;0;5;5;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
17.07.2024;11:46;A 22;1;1;82;5;50;2;0;6;9;0;0;1;1;3;3;2;9;3;16;1;4;1;14;2;4;0;0;4;13;0;0;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
17.07.2024;11:40;A 22;1;0;100;4;16;0;0;5;5;0;0;0;0;0;0;2;13;0;0;0;0;2;13;0;0;0;0;3;11;0;0;0;0;4;4;2;4;1;34;2;9;1;9;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
17.07.2024;11:30;A 22;1;0;0;1;55;0;0;3;6;0;0;0;0;6;2;0;20;3;11;1;3;0;18;0;0;0;0;1;50;0;0;0;0;3;5;2;5;0;0;1;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
17.07.2024;11:29;A 22;1;0;0;5;27;0;0;6;8;0;0;2;36;2;0;2;41;1;3;2;41;1;52;0;0;0;0;1;0;0;0;0;0;1;1;1;1;1;4;0;0;2;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
