Datum;Uhrzeit;Bezeichnung;Intervall;Fg35_T1_T2Z;Fg35_T1_T2B
17.07.2024;04:06;A105;1;0;0
17.07.2024;04:05;A105;1;0;0
17.07.2024;04:04;A105;1;0;0
17.07.2024;04:03;A105;1;0;0
17.07.2024;04:02;A105;1;0;0
17.07.2024;04:01;A105;1;0;0
17.07.2024;04:00;A105;1;0;0
17.07.2024;03:59;A105;1;0;0
17.07.2024;03:58;A105;1;0;0
17.07.2024;03:57;A105;1;0;0
17.07.2024;03:56;A105;1;0;0
17.07.2024;03:55;A105;1;0;0
17.07.2024;03:54;A105;1;0;0
17.07.2024;03:53;A105;1;0;0
17.07.2024;03:52;A105;1;0;0
17.07.2024;03:51;A105;1;0;0
17.07.2024;03:50;A105;1;0;0
17.07.2024;03:49;A105;1;0;0
17.07.2024;03:48;A105;1;0;0
17.07.2024;03:47;A105;1;0;0
17.07.2024;03:46;A105;1;0;0
17.07.2024;03:45;A105;1;0;0
17.07.2024;03:44;A105;1;0;0
17.07.2024;03:43;A105;1;0;0
17.07.2024;03:42;A105;1;0;0
17.07.2024;03:41;A105;1;0;0
17.07.2024;03:40;A105;1;0;0
17.07.2024;03:39;A105;1;0;0
17.07.2024;03:38;A105;1;0;0
17.07.2024;03:37;A105;1;0;0
17.07.2024;03:36;A105;1;0;0
17.07.2024;03:35;A105;1;0;0
17.07.2024;03:34;A105;1;0;0
17.07.2024;03:33;A105;1;0;0
17.07.2024;03:32;A105;1;0;0
17.07.2024;03:31;A105;1;0;0
17.07.2024;03:30;A105;1;0;0
17.07.2024;03:29;A105;1;0;0
17.07.2024;03:28;A105;1;0;0
17.07.2024;03:27;A105;1;0;0
17.07.2024;03:26;A105;1;0;0
17.07.2024;03:25;A105;1;0;0
17.07.2024;03:24;A105;1;0;0
17.07.2024;03:23;A105;1;0;0
17.07.2024;03:22;A105;1;0;0
17.07.2024;03:21;A105;1;0;0
17.07.2024;03:20;A105;1;0;0
17.07.2024;03:19;A105;1;0;0
17.07.2024;03:18;A105;1;0;0
17.07.2024;03:17;A105;1;0;0
17.07.2024;03:16;A105;1;0;0
17.07.2024;03:15;A105;1;0;0
17.07.2024;03:14;A105;1;0;0
17.07.2024;03:13;A105;1;0;0
17.07.2024;03:12;A105;1;0;0
17.07.2024;03:11;A105;1;0;0
17.07.2024;03:10;A105;1;0;0
17.07.2024;03:09;A105;1;0;0
17.07.2024;03:08;A105;1;0;0
17.07.2024;03:07;A105;1;0;0
17.07.2024;03:06;A105;1;0;0
17.07.2024;03:05;A105;1;0;0
17.07.2024;03:04;A105;1;0;0
17.07.2024;03:03;A105;1;0;0
17.07.2024;03:02;A105;1;0;0
17.07.2024;03:01;A105;1;0;0
17.07.2024;03:00;A105;1;0;0
17.07.2024;02:59;A105;1;0;0
17.07.2024;02:58;A105;1;0;0
17.07.2024;02:57;A105;1;0;0
17.07.2024;02:56;A105;1;0;0
17.07.2024;02:55;A105;1;0;0
17.07.2024;02:54;A105;1;0;0
17.07.2024;02:53;A105;1;0;0
17.07.2024;02:52;A105;1;0;0
17.07.2024;02:51;A105;1;0;0
17.07.2024;02:50;A105;1;0;0
17.07.2024;02:49;A105;1;0;0
17.07.2024;02:48;A105;1;0;0
17.07.2024;02:47;A105;1;0;0
17.07.2024;02:46;A105;1;0;0
17.07.2024;02:45;A105;1;0;0
17.07.2024;02:44;A105;1;0;0
17.07.2024;02:43;A105;1;0;0
17.07.2024;02:42;A105;1;0;0
17.07.2024;02:41;A105;1;0;0
17.07.2024;02:40;A105;1;0;0
17.07.2024;02:39;A105;1;0;0
17.07.2024;02:38;A105;1;0;0
17.07.2024;02:37;A105;1;0;0
17.07.2024;02:36;A105;1;0;0
17.07.2024;02:35;A105;1;0;0
17.07.2024;02:34;A105;1;0;0
17.07.2024;02:33;A105;1;0;0
17.07.2024;02:32;A105;1;0;0
17.07.2024;02:31;A105;1;0;0
17.07.2024;02:30;A105;1;0;0
17.07.2024;02:29;A105;1;0;0
17.07.2024;02:28;A105;1;0;0
17.07.2024;02:27;A105;1;0;0
17.07.2024;02:26;A105;1;0;0
17.07.2024;02:25;A105;1;0;0
17.07.2024;02:24;A105;1;0;0
17.07.2024;02:23;A105;1;0;0
17.07.2024;02:22;A105;1;0;0
17.07.2024;02:21;A105;1;0;0
17.07.2024;02:20;A105;1;0;0
17.07.2024;02:19;A105;1;0;0
17.07.2024;02:18;A105;1;0;0
17.07.2024;02:17;A105;1;0;0
17.07.2024;02:16;A105;1;0;0
17.07.2024;02:15;A105;1;0;0
17.07.2024;02:14;A105;1;0;0
17.07.2024;02:13;A105;1;0;0
17.07.2024;02:12;A105;1;0;0
17.07.2024;02:11;A105;1;0;0
17.07.2024;02:10;A105;1;0;0
17.07.2024;02:09;A105;1;0;0
17.07.2024;02:08;A105;1;0;0
17.07.2024;02:07;A105;1;0;0
17.07.2024;02:06;A105;1;0;0
17.07.2024;02:05;A105;1;0;0
17.07.2024;02:04;A105;1;0;0
17.07.2024;02:03;A105;1;0;0
17.07.2024;02:02;A105;1;0;0
17.07.2024;02:01;A105;1;0;0
17.07.2024;02:00;A105;1;0;0
