Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D21Z;D21B;D41Z;D41B;D42Z;D42B;res1Z;res1B;res2Z;res2B;res3Z;res3B;FG-AF_41aZ;FG-AF_41aB;FG-AF_BF41aZ;FG-AF_BF41aB;FG-AF_41bZ;FG-AF_41bB;FG-AF_BF41bZ;FG-AF_BF41bB;A88_MP2Z;A88_MP2B;A117/MP1Z;A117/MP1B;A117_MP2Z;A117_MP2B;A118_MP3Z;A118_MP3B;A117_MP3Z;A117_MP3B;A117_MP4Z;A117_MP4B
15.08.2024;09:20;A117;1;1;13;0;0;16;29;13;21;2;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;09:19;A117;1;0;100;0;0;4;6;16;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;09:18;A117;1;1;21;0;0;18;26;10;17;4;2;0;0;0;0;0;0;0;0;1;2;1;2;0;0;0;0;;;;;;;;;;
15.08.2024;09:17;A117;1;0;0;0;0;5;8;10;12;1;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;09:16;A117;1;1;44;0;0;13;17;12;13;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;09:15;A117;1;0;0;0;0;16;20;7;6;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;09:14;A117;1;0;0;0;0;17;19;15;16;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;09:13;A117;1;0;0;0;0;7;10;22;26;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;09:12;A117;1;1;43;0;0;9;38;9;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;09:11;A117;1;1;38;0;0;13;16;10;11;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
