Datum;Uhrzeit;Bezeichnung;Intervall;DK41Z;DK41B;V42Z;V42B;DK61Z;DK61B;DK62Z;DK62B;DK_71Z;DK_71B;V72Z;V72B;DK91Z;DK91B;V92Z;V92B;DK101Z;DK101B;V102Z;V102B;DK121Z;DK121B;V122Z;V122B;H53_M31_1112Z;H53_M31_1112B;S53_M32_ohneFuXZ;S53_M32_ohneFuXB;A53_M33_1114Z;A53_M33_1114B;H55_M51_1101/1XZ;H55_M51_1101/1XB;S55_M52_ohneFuXZ;S55_M52_ohneFuXB;A55_M53_425Z;A55_M53_425B;T1_1_2a_1Z;T1_1_2a_1B;T1_2_2a_2Z;T1_2_2a_2B;T2b_1_3_1Z;T2b_1_3_1B;T2b_2_3_2Z;T2b_2_3_2B;T5_1_6_1Z;T5_1_6_1B;T5_2_6_2Z;T5_2_6_2B;V22Z;V22B;V63Z;V63B
03.07.2024;21:16;A161;1;2;26;3;11;2;14;1;0;1;16;3;32;2;40;2;95;1;80;2;35;1;0;7;63;4;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2024;21:15;A161;1;1;41;1;2;0;0;2;1;1;1;6;11;4;18;1;37;6;36;1;2;0;0;1;92;4;8;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2024;21:14;A161;1;1;2;1;5;2;32;0;0;2;13;3;0;2;6;5;52;4;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2024;21:13;A161;1;1;10;0;0;3;62;1;1;1;31;3;0;0;0;1;38;1;5;3;31;2;31;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
03.07.2024;21:12;A161;1;1;30;2;8;2;39;0;0;2;47;4;3;4;8;1;3;2;4;1;38;0;0;5;50;5;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2024;21:11;A161;1;8;39;0;31;4;55;3;15;3;47;6;6;4;15;2;31;3;10;1;63;1;51;2;73;3;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2024;21:10;A161;1;1;82;2;86;5;11;1;83;1;85;4;4;4;10;2;22;2;3;3;53;1;52;1;17;1;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
03.07.2024;21:09;A161;1;4;4;1;12;1;35;4;4;1;39;5;2;2;5;3;35;6;10;2;48;2;30;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2024;21:08;A161;1;1;48;1;4;0;31;0;0;0;0;3;1;1;3;1;65;4;8;2;36;1;0;3;93;3;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2024;21:07;A161;1;0;0;0;0;2;32;0;0;2;32;2;0;0;0;2;2;1;2;0;0;0;0;1;24;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
03.07.2024;21:06;A161;1;2;1;1;2;1;17;1;0;1;14;2;0;0;0;2;1;0;0;2;30;0;0;1;35;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2024;21:05;A161;1;2;1;2;6;2;24;2;1;2;10;1;1;2;2;1;1;1;2;1;22;2;1;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2024;21:04;A161;1;1;1;0;0;3;16;2;3;4;34;1;1;1;2;3;21;2;4;1;2;0;0;2;66;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2024;21:03;A161;1;0;0;0;0;2;42;0;0;2;15;4;36;5;20;2;0;5;16;1;14;1;0;4;49;6;22;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
03.07.2024;21:02;A161;1;2;1;3;7;3;55;2;1;1;57;3;3;3;7;1;11;2;1;1;46;0;0;1;15;3;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2024;21:01;A161;1;1;30;1;4;1;4;14;7;1;4;2;5;1;5;4;64;3;18;2;50;3;36;2;37;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2024;21:00;A161;1;2;1;2;24;0;13;2;1;1;12;13;42;4;29;1;81;4;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2024;20:59;A161;1;2;2;2;7;3;20;2;1;1;14;2;0;1;13;0;0;1;12;0;0;0;0;3;89;0;93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2024;20:58;A161;1;4;25;2;31;2;9;2;2;3;23;1;0;1;2;2;0;1;1;1;32;1;17;1;58;1;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2024;20:57;A161;1;1;41;2;45;0;0;1;45;0;0;5;4;4;10;2;4;2;4;2;43;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2024;20:56;A161;1;6;19;2;6;4;35;1;0;2;43;1;4;1;3;1;2;1;3;0;3;1;4;4;14;1;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2024;20:55;A161;1;1;1;2;49;2;6;4;7;1;8;2;1;2;4;4;14;2;3;1;16;2;2;1;95;3;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2024;20:54;A161;1;2;2;2;7;1;53;4;2;1;49;1;37;2;5;3;14;2;3;0;0;0;0;2;89;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
03.07.2024;20:53;A161;1;1;0;1;2;1;13;1;0;2;6;0;0;1;2;4;52;4;32;0;0;0;0;0;73;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2024;20:52;A161;1;1;0;1;2;1;19;1;0;0;17;4;1;0;0;2;91;0;97;2;16;0;0;2;62;2;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2024;20:51;A161;1;2;2;2;8;2;28;2;1;1;49;5;3;2;5;0;0;2;2;1;25;1;1;4;73;3;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2024;20:50;A161;1;2;52;2;7;2;7;1;0;2;7;3;2;2;6;2;2;0;0;0;0;0;0;1;43;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2024;20:49;A161;1;1;19;1;4;5;16;1;0;2;24;3;2;2;7;2;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2024;20:48;A161;1;4;39;2;51;2;98;3;1;0;100;3;3;3;7;0;34;1;1;1;1;0;0;2;34;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2024;20:47;A161;1;0;0;0;0;1;99;1;0;0;100;2;89;1;95;1;1;1;88;0;0;0;0;4;23;1;29;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
03.07.2024;20:46;A161;1;0;0;0;0;1;32;0;0;1;33;4;9;2;14;3;66;3;24;4;48;1;0;1;57;3;32;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
03.07.2024;20:45;A161;1;0;0;0;0;4;12;0;0;3;19;2;12;2;5;1;73;0;71;1;70;1;62;2;70;3;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2024;20:44;A161;1;0;0;0;0;1;0;0;0;1;4;9;25;3;47;1;29;3;29;1;2;0;0;1;47;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.07.2024;20:43;A161;1;3;2;2;8;1;1;3;2;1;3;6;32;3;46;1;47;3;37;1;4;1;7;1;63;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
03.07.2024;20:42;A161;1;0;0;1;0;1;1;2;1;1;2;5;6;4;16;2;48;6;10;0;0;0;0;5;51;1;27;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
03.07.2024;20:41;A161;1;1;1;1;3;4;13;1;0;3;18;3;30;3;36;1;52;1;32;1;1;1;2;4;89;1;73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
03.07.2024;20:40;A161;1;2;1;2;6;3;43;2;1;2;50;3;1;2;4;6;13;1;4;0;0;0;0;0;100;1;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
