Datum;Uhrzeit;Bezeichnung;Intervall;D21Z;D21B;D22Z;D22B;D31Z;D31B;D32Z;D32B;D41Z;D41B;D42Z;D42B;D55Z;D55B;H51_M1_637Z;H51_M1_637B;A51_M2_638Z;A51_M2_638B;H55_M3_640Z;H55_M3_640B;A55_M4_641Z;A55_M4_641B;V51_M5_636Z;V51_M5_636B;T1Z;T1B;T2Z;T2B;T5Z;T5B;T6Z;T6B;Schluessel_S51Z;Schluessel_S51B;Schluessel_S55Z;Schluessel_S55B
10.04.2024;17:22;A 83;1;6;6;1;0;0;100;0;0;19;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;17:21;A 83;1;8;31;2;3;1;83;0;0;15;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;17:20;A 83;1;8;49;3;9;2;24;0;0;14;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;17:19;A 83;1;7;36;3;1;0;100;0;0;2;4;2;3;0;0;0;0;0;0;1;2;1;2;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;17:18;A 83;1;7;12;0;0;1;46;0;0;10;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;17:17;A 83;1;9;11;1;20;0;0;0;0;10;47;1;37;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;17:16;A 83;1;7;8;1;1;0;0;0;0;8;19;2;17;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;17:15;A 83;1;5;28;1;0;0;0;2;43;8;32;3;15;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;17:14;A 83;1;9;15;1;33;0;0;0;0;4;43;2;34;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;17:13;A 83;1;11;13;0;0;0;0;0;97;14;31;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;17:12;A 83;1;13;27;3;24;2;3;1;21;13;70;0;55;0;0;0;0;0;0;0;0;1;2;1;2;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;17:11;A 83;1;3;3;0;0;1;1;0;0;6;79;1;56;0;0;0;0;0;0;1;2;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;17:10;A 83;1;5;5;2;1;0;0;1;50;13;50;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;17:09;A 83;1;6;37;0;0;0;0;0;0;10;58;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;17:08;A 83;1;9;45;1;1;0;0;0;0;12;43;1;20;0;0;0;0;0;0;0;0;0;0;1;2;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;17:07;A 83;1;7;9;2;1;0;0;0;0;9;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;17:06;A 83;1;8;31;0;0;0;0;0;0;11;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;17:05;A 83;1;9;10;2;2;0;0;0;0;8;18;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;17:04;A 83;1;5;5;0;0;0;75;1;58;9;40;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;17:03;A 83;1;8;43;0;0;1;17;1;33;7;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;17:02;A 83;1;4;9;1;44;0;0;1;48;13;54;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;17:01;A 83;1;7;6;0;0;0;0;0;0;14;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;17:00;A 83;1;4;5;0;0;0;0;0;56;8;72;1;12;0;0;0;0;0;0;0;0;1;2;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;16:59;A 83;1;7;9;1;1;2;3;1;60;7;9;1;1;0;0;0;0;0;0;1;2;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;16:58;A 83;1;12;22;0;0;0;0;0;0;10;11;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;16:57;A 83;1;12;30;4;27;1;1;1;0;9;25;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;16:56;A 83;1;3;11;1;2;0;0;0;0;11;12;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;16:55;A 83;1;6;7;0;0;1;1;0;0;13;15;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;16:54;A 83;1;6;7;3;2;0;0;1;25;7;42;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;16:53;A 83;1;8;13;2;1;0;0;1;37;19;36;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;16:52;A 83;1;7;10;3;4;1;46;1;1;7;46;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;16:51;A 83;1;6;13;0;0;1;1;1;2;10;57;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;16:50;A 83;1;10;57;0;96;1;1;1;1;12;55;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;16:49;A 83;1;8;25;4;28;0;0;0;0;14;50;2;4;0;0;0;0;0;0;1;2;1;2;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;16:48;A 83;1;3;5;1;1;0;0;0;26;11;51;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;16:47;A 83;1;15;34;0;0;0;0;2;84;5;16;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;16:46;A 83;1;4;29;0;0;1;2;0;0;7;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;16:45;A 83;1;5;6;0;0;0;0;1;48;12;44;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;16:44;A 83;1;9;42;2;3;0;0;1;62;17;56;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;16:43;A 83;1;5;4;2;1;1;16;0;0;16;20;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;16:42;A 83;1;3;4;0;0;0;33;0;0;10;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;16:41;A 83;1;11;59;1;7;1;44;0;0;11;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;16:40;A 83;1;12;29;1;1;1;2;0;0;17;39;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;16:39;A 83;1;5;71;0;0;0;65;1;2;3;57;1;0;0;0;0;0;0;0;0;0;1;2;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;16:38;A 83;1;5;7;0;0;1;53;0;0;9;10;0;0;0;0;0;0;0;0;1;2;0;0;1;2;0;100;0;0;0;0;0;0;0;0;0;0
