Datum;Uhrzeit;Bezeichnung;Intervall;D51Z;D51B;D52Z;D52B;D53Z;D53B;D54Z;D54B;D71Z;D71B;D72Z;D72B;D91Z;D91B;D92Z;D92B;D93Z;D93B;D94Z;D94B;MP1Z;MP1B;MP2Z;MP2B;MP3Z;MP3B;MP4Z;MP4B;MP5Z;MP5B;MP6Z;MP6B;MP7Z;MP7B;TBS35Z;TBS35B;TF37Z;TF37B;TBS37Z;TBS37B;TF38Z;TF38B;TBS38Z;TBS38B;TBS39Z;TBS39B;TS57Z;TS57B
09.03.2024;09:18;A 32;1;2;73;3;83;4;6;2;6;0;0;0;0;4;51;3;3;4;4;4;4;0;0;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.03.2024;09:17;A 32;1;2;70;1;66;2;2;2;3;3;7;3;5;2;3;6;19;3;3;7;16;1;2;0;0;0;0;0;0;0;0;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.03.2024;09:16;A 32;1;1;89;1;72;1;1;1;1;2;7;0;0;5;6;4;6;6;5;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.03.2024;09:15;A 32;1;0;2;3;5;0;0;2;4;0;0;1;1;9;28;8;25;7;7;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
09.03.2024;09:14;A 32;1;2;86;0;0;2;3;1;0;1;1;1;1;6;11;5;6;7;7;7;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.03.2024;09:13;A 32;1;3;69;4;63;2;2;4;8;2;6;2;5;5;24;9;25;4;5;8;8;0;0;0;0;0;0;0;0;0;0;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.03.2024;09:12;A 32;1;2;21;1;44;3;5;0;0;4;5;3;3;2;3;2;15;2;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0
09.03.2024;09:11;A 32;1;2;43;3;42;1;1;3;3;1;19;1;0;4;24;4;32;5;9;5;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0
09.03.2024;09:10;A 32;1;5;41;6;48;4;30;3;25;2;2;2;1;3;24;1;28;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.03.2024;09:09;A 32;1;1;89;1;83;4;26;6;11;3;4;3;2;4;4;3;4;4;3;3;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
