Datum;Uhrzeit;Bezeichnung;Intervall;T1_sZ;T1_sB;T1_bZ;T1_bB;T2_sZ;T2_sB;T2_bZ;T2_bB;IR51Z;IR51B;IR111Z;IR111B
03.03.2025;23:09;A169;1;2;6;3;13;0;0;0;0;0;0;0;0
03.03.2025;23:08;A169;1;3;7;4;15;0;0;0;0;0;0;0;0
03.03.2025;23:07;A169;1;2;4;1;3;0;0;0;0;0;0;0;0
03.03.2025;23:06;A169;1;0;0;0;0;0;0;0;0;0;0;0;0
03.03.2025;23:05;A169;1;2;9;2;5;0;0;0;0;0;0;0;0
03.03.2025;23:04;A169;1;2;9;2;9;0;0;0;0;0;0;0;0
03.03.2025;23:03;A169;1;5;9;3;19;0;0;0;0;0;0;0;0
03.03.2025;23:02;A169;1;1;1;3;16;0;0;0;0;0;0;0;0
03.03.2025;23:01;A169;1;4;6;4;20;0;0;0;0;0;0;0;0
03.03.2025;23:00;A169;1;7;21;3;11;0;0;0;0;0;0;0;0
03.03.2025;22:59;A169;1;3;8;4;12;0;0;0;0;0;0;0;0
03.03.2025;22:58;A169;1;4;11;2;11;0;0;0;0;0;0;0;0
03.03.2025;22:57;A169;1;1;2;1;3;0;0;0;0;0;0;0;0
03.03.2025;22:56;A169;1;3;9;3;13;0;0;0;0;0;0;0;0
03.03.2025;22:55;A169;1;4;12;3;6;0;0;0;0;0;0;0;0
03.03.2025;22:54;A169;1;2;5;2;6;0;0;0;0;0;0;0;0
03.03.2025;22:53;A169;1;4;13;2;8;0;0;0;0;0;0;0;0
03.03.2025;22:52;A169;1;1;7;1;2;0;0;0;0;0;0;0;0
03.03.2025;22:51;A169;1;5;12;5;20;0;0;0;0;0;0;0;0
03.03.2025;22:50;A169;1;3;12;1;6;0;0;0;0;0;0;0;0
03.03.2025;22:49;A169;1;2;5;3;11;0;0;0;0;0;0;0;0
03.03.2025;22:48;A169;1;3;10;0;0;0;0;0;0;0;0;0;0
03.03.2025;22:47;A169;1;5;15;5;19;0;0;0;0;0;0;0;0
03.03.2025;22:46;A169;1;4;14;2;7;0;0;0;0;0;0;0;0
03.03.2025;22:45;A169;1;0;0;1;1;0;0;0;0;0;0;0;0
03.03.2025;22:44;A169;1;4;13;3;10;0;0;0;0;0;0;0;0
03.03.2025;22:43;A169;1;5;19;4;11;0;0;0;0;0;0;0;0
03.03.2025;22:42;A169;1;3;8;3;10;0;0;0;0;0;0;0;0
03.03.2025;22:41;A169;1;3;6;2;11;0;0;0;0;0;0;0;0
03.03.2025;22:40;A169;1;3;8;2;6;0;0;0;0;0;0;0;0
03.03.2025;22:39;A169;1;3;19;2;4;0;0;0;0;0;0;0;0
03.03.2025;22:38;A169;1;2;4;3;10;0;0;0;0;0;0;0;0
03.03.2025;22:37;A169;1;4;11;4;16;0;0;0;0;0;0;0;0
03.03.2025;22:36;A169;1;1;3;1;4;0;0;0;0;0;0;0;0
03.03.2025;22:35;A169;1;4;19;4;18;0;0;0;0;0;0;0;0
03.03.2025;22:34;A169;1;3;10;3;15;0;0;0;0;0;0;0;0
03.03.2025;22:33;A169;1;3;19;2;11;0;0;0;0;0;0;0;0
03.03.2025;22:32;A169;1;7;15;1;8;0;0;0;0;0;0;0;0
03.03.2025;22:31;A169;1;2;5;2;12;0;0;0;0;0;0;0;0
03.03.2025;22:30;A169;1;4;24;4;21;0;0;0;0;0;0;0;0
03.03.2025;22:29;A169;1;4;16;3;14;0;0;0;0;0;0;0;0
03.03.2025;22:28;A169;1;4;13;1;7;0;0;0;0;0;0;0;0
03.03.2025;22:27;A169;1;2;8;2;4;0;0;0;0;0;0;0;0
03.03.2025;22:26;A169;1;2;18;1;8;0;0;0;0;0;0;0;0
03.03.2025;22:25;A169;1;3;19;2;11;0;0;0;0;0;0;0;0
03.03.2025;22:24;A169;1;0;0;1;2;0;0;0;0;0;0;0;0
03.03.2025;22:23;A169;1;1;4;1;7;0;0;0;0;0;0;0;0
03.03.2025;22:22;A169;1;5;19;4;20;0;0;0;0;0;0;0;0
03.03.2025;22:21;A169;1;0;4;0;0;0;0;0;0;0;0;0;0
03.03.2025;22:20;A169;1;2;19;0;0;0;0;0;0;0;0;0;0
03.03.2025;22:19;A169;1;5;10;3;15;0;0;0;0;0;0;0;0
03.03.2025;22:18;A169;1;3;13;4;19;0;0;0;0;0;0;0;0
03.03.2025;22:17;A169;1;4;17;2;5;0;0;0;0;0;0;0;0
03.03.2025;22:16;A169;1;0;0;2;6;0;0;0;0;0;0;0;0
03.03.2025;22:15;A169;1;5;24;3;19;0;0;0;0;0;0;0;0
03.03.2025;22:14;A169;1;4;12;2;6;0;0;0;0;0;0;0;0
03.03.2025;22:13;A169;1;6;19;3;11;0;0;0;0;0;0;0;0
03.03.2025;22:12;A169;1;2;11;2;6;0;0;0;0;0;0;0;0
03.03.2025;22:11;A169;1;4;19;1;4;0;0;0;0;0;0;0;0
03.03.2025;22:10;A169;1;2;18;4;15;0;0;0;0;0;0;0;0
03.03.2025;22:09;A169;1;1;5;4;17;0;0;0;0;0;0;0;0
03.03.2025;22:08;A169;1;3;7;4;19;0;0;0;0;0;0;0;0
03.03.2025;22:07;A169;1;6;19;3;11;0;0;0;0;0;0;0;0
03.03.2025;22:06;A169;1;5;24;3;24;0;0;0;0;0;0;0;0
03.03.2025;22:05;A169;1;1;5;0;0;0;0;0;0;0;0;0;0
03.03.2025;22:04;A169;1;4;17;0;0;0;0;0;0;0;0;0;0
03.03.2025;22:03;A169;1;3;13;3;9;0;0;0;0;0;0;0;0
03.03.2025;22:02;A169;1;7;17;6;20;0;0;0;0;0;0;0;0
03.03.2025;22:01;A169;1;4;13;3;15;0;0;0;0;0;0;0;0
03.03.2025;22:00;A169;1;5;16;3;18;0;0;0;0;0;0;0;0
03.03.2025;21:59;A169;1;2;7;2;6;0;0;0;0;0;0;0;0
03.03.2025;21:58;A169;1;2;6;4;22;0;0;0;0;0;0;0;0
03.03.2025;21:57;A169;1;2;4;3;14;0;0;0;0;0;0;0;0
03.03.2025;21:56;A169;1;5;14;5;22;0;0;0;0;0;0;0;0
03.03.2025;21:55;A169;1;3;5;3;9;0;0;0;0;0;0;0;0
03.03.2025;21:54;A169;1;3;12;1;8;0;0;0;0;0;0;0;0
03.03.2025;21:53;A169;1;0;0;1;4;0;0;0;0;0;0;0;0
03.03.2025;21:52;A169;1;5;17;2;8;0;0;0;0;0;0;0;0
03.03.2025;21:51;A169;1;4;19;6;31;0;0;0;0;0;0;0;0
03.03.2025;21:50;A169;1;1;12;3;10;0;0;0;0;0;0;0;0
03.03.2025;21:49;A169;1;4;23;3;12;0;0;0;0;0;0;0;0
03.03.2025;21:48;A169;1;2;9;2;9;0;0;0;0;0;0;0;0
03.03.2025;21:47;A169;1;5;12;5;22;0;0;0;0;0;0;0;0
03.03.2025;21:46;A169;1;5;15;5;24;0;0;0;0;0;0;0;0
03.03.2025;21:45;A169;1;3;15;3;9;0;0;0;0;0;0;0;0
03.03.2025;21:44;A169;1;3;8;0;0;0;0;0;0;0;0;0;0
03.03.2025;21:43;A169;1;4;12;9;45;0;0;0;0;0;0;0;0
03.03.2025;21:42;A169;1;3;12;5;22;0;0;0;0;0;0;0;0
03.03.2025;21:41;A169;1;6;16;5;20;0;0;0;0;0;0;0;0
03.03.2025;21:40;A169;1;4;12;3;13;0;0;0;0;0;0;0;0
03.03.2025;21:39;A169;1;5;15;2;14;0;0;0;0;0;0;0;0
03.03.2025;21:38;A169;1;4;10;3;8;0;0;0;0;0;0;0;0
03.03.2025;21:37;A169;1;2;7;1;3;0;0;0;0;0;0;0;0
03.03.2025;21:36;A169;1;5;17;8;36;0;0;0;0;0;0;0;0
03.03.2025;21:35;A169;1;4;12;2;9;0;0;0;0;0;0;0;0
03.03.2025;21:34;A169;1;5;19;3;9;0;0;0;0;0;0;0;0
03.03.2025;21:33;A169;1;2;4;3;14;0;0;0;0;0;0;0;0
03.03.2025;21:32;A169;1;5;32;2;27;0;0;0;0;0;0;0;0
03.03.2025;21:31;A169;1;2;6;3;18;0;0;0;0;0;0;0;0
03.03.2025;21:30;A169;1;6;19;3;18;0;0;0;0;0;0;0;0
03.03.2025;21:29;A169;1;5;22;5;30;0;0;0;0;0;0;0;0
03.03.2025;21:28;A169;1;5;16;4;26;0;0;0;0;0;0;0;0
03.03.2025;21:27;A169;1;2;6;3;7;0;0;0;0;0;0;0;0
03.03.2025;21:26;A169;1;7;21;3;12;0;0;0;0;0;0;0;0
03.03.2025;21:25;A169;1;6;40;2;22;0;0;0;0;0;0;0;0
03.03.2025;21:24;A169;1;5;15;6;33;0;0;0;0;0;0;0;0
03.03.2025;21:23;A169;1;4;16;3;16;0;0;0;0;0;0;0;0
03.03.2025;21:22;A169;1;3;12;2;5;0;0;0;0;0;0;0;0
03.03.2025;21:21;A169;1;4;13;5;26;0;0;0;0;0;0;0;0
03.03.2025;21:20;A169;1;6;19;5;28;0;0;0;0;0;0;0;0
03.03.2025;21:19;A169;1;6;28;2;8;0;0;0;0;0;0;0;0
03.03.2025;21:18;A169;1;5;20;4;27;0;0;0;0;0;0;0;0
03.03.2025;21:17;A169;1;8;31;5;42;0;0;0;0;0;0;0;0
03.03.2025;21:16;A169;1;10;42;3;11;0;0;0;0;0;0;0;0
03.03.2025;21:15;A169;1;3;22;2;22;0;0;0;0;0;0;0;0
03.03.2025;21:14;A169;1;3;10;2;11;0;0;0;0;0;0;0;0
03.03.2025;21:13;A169;1;5;22;2;7;0;0;0;0;0;0;0;0
03.03.2025;21:12;A169;1;8;36;4;25;0;0;0;0;0;0;0;0
03.03.2025;21:11;A169;1;4;24;2;13;0;0;0;0;0;0;0;0
03.03.2025;21:10;A169;1;6;16;4;13;0;0;0;0;0;0;0;0
03.03.2025;21:09;A169;1;8;31;4;24;0;0;0;0;0;0;0;0
03.03.2025;21:08;A169;1;2;9;2;12;0;0;0;0;0;0;0;0
03.03.2025;21:07;A169;1;4;10;3;18;0;0;0;0;0;0;0;0
03.03.2025;21:06;A169;1;4;13;5;24;0;0;1;1;0;0;0;0
03.03.2025;21:05;A169;1;7;30;2;23;0;0;0;0;0;0;0;0
03.03.2025;21:04;A169;1;5;25;4;26;0;0;0;0;0;0;0;0
03.03.2025;21:03;A169;1;4;11;4;18;0;0;0;0;0;0;0;0
03.03.2025;21:02;A169;1;6;20;4;29;0;0;0;0;0;0;0;0
03.03.2025;21:01;A169;1;7;20;9;34;0;0;0;0;0;0;0;0
03.03.2025;21:00;A169;1;3;7;3;18;0;0;0;0;0;0;0;0
03.03.2025;20:59;A169;1;6;26;4;29;0;0;0;0;0;0;0;0
03.03.2025;20:58;A169;1;5;30;4;22;0;0;0;0;0;0;0;0
03.03.2025;20:57;A169;1;3;11;3;13;0;0;0;0;0;0;0;0
03.03.2025;20:56;A169;1;4;7;4;17;0;0;0;0;0;0;0;0
03.03.2025;20:55;A169;1;10;44;6;37;0;0;0;0;0;0;0;0
03.03.2025;20:54;A169;1;5;37;5;25;0;0;0;0;0;0;0;0
03.03.2025;20:53;A169;1;5;19;5;42;0;0;0;0;0;0;0;0
03.03.2025;20:52;A169;1;4;17;6;37;0;0;0;0;0;0;0;0
03.03.2025;20:51;A169;1;2;11;1;5;0;0;0;0;0;0;0;0
03.03.2025;20:50;A169;1;6;19;5;31;0;0;0;0;0;0;0;0
03.03.2025;20:49;A169;1;6;21;2;10;0;0;0;0;0;0;0;0
03.03.2025;20:48;A169;1;6;26;3;17;0;0;0;0;0;0;0;0
03.03.2025;20:47;A169;1;4;15;2;9;0;0;0;0;0;0;0;0
03.03.2025;20:46;A169;1;3;10;3;16;0;0;0;0;0;0;0;0
03.03.2025;20:45;A169;1;6;22;6;28;0;0;0;0;0;0;0;0
03.03.2025;20:44;A169;1;8;27;5;35;0;0;0;0;0;0;0;0
03.03.2025;20:43;A169;1;5;9;6;24;0;0;0;0;0;0;0;0
03.03.2025;20:42;A169;1;4;13;3;18;0;0;0;0;0;0;0;0
