Datum;Uhrzeit;Bezeichnung;Intervall;TF31Z;TF31B;TF33Z;TF33B;TBS31Z;TBS31B;TBS32Z;TBS32B;TBS33Z;TBS33B;TS55Z;TS55B;TS57Z;TS57B;VD21Z;VD21B;VD22Z;VD22B;VD81Z;VD81B;VD82Z;VD82B;VD521Z;VD521B
16.01.2024;23:33;A 62;1;0;0;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;23:32;A 62;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;23:31;A 62;1;0;0;0;0;3;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;23:30;A 62;1;2;4;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;23:29;A 62;1;0;0;0;0;2;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;23:28;A 62;1;0;0;0;0;2;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;23:27;A 62;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;23:26;A 62;1;1;1;2;2;2;21;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
16.01.2024;23:25;A 62;1;5;4;0;0;1;3;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;23:24;A 62;1;0;0;0;0;0;50;1;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;23:23;A 62;1;4;6;1;4;1;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;23:22;A 62;1;3;4;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;23:21;A 62;1;2;5;0;0;3;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;23:20;A 62;1;2;2;0;0;3;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;23:19;A 62;1;2;2;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;23:18;A 62;1;0;0;0;0;2;13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;23:17;A 62;1;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;23:16;A 62;1;1;1;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;23:15;A 62;1;6;12;2;2;3;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;23:14;A 62;1;2;4;1;0;4;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;23:13;A 62;1;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;23:12;A 62;1;2;3;0;0;4;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;23:11;A 62;1;2;3;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;23:10;A 62;1;3;6;3;4;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;23:09;A 62;1;2;6;2;7;2;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;23:08;A 62;1;0;3;3;9;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;23:07;A 62;1;2;2;1;2;4;9;0;0;1;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;23:06;A 62;1;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;23:05;A 62;1;2;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;23:04;A 62;1;0;0;0;0;5;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;23:03;A 62;1;0;0;0;0;1;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;23:02;A 62;1;0;0;0;0;2;5;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
16.01.2024;23:01;A 62;1;1;2;0;0;3;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;23:00;A 62;1;1;2;0;0;2;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;22:59;A 62;1;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;22:58;A 62;1;0;0;0;0;2;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;22:57;A 62;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;22:56;A 62;1;2;3;1;0;5;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;22:55;A 62;1;4;5;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;22:54;A 62;1;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;22:53;A 62;1;5;14;0;0;2;11;0;0;1;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;22:52;A 62;1;3;4;0;0;2;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;22:51;A 62;1;3;2;2;1;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;22:50;A 62;1;4;8;0;0;4;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;22:49;A 62;1;1;3;1;1;4;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;22:48;A 62;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;22:47;A 62;1;0;0;1;9;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;22:46;A 62;1;0;0;2;1;2;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;22:45;A 62;1;4;2;1;2;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;22:44;A 62;1;1;2;0;0;3;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;22:43;A 62;1;2;5;0;0;3;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;22:42;A 62;1;1;0;1;4;3;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;22:41;A 62;1;5;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;22:40;A 62;1;3;8;1;4;2;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;22:39;A 62;1;3;7;0;0;5;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;22:38;A 62;1;2;5;1;1;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;22:37;A 62;1;4;5;0;0;1;36;0;0;1;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;22:36;A 62;1;3;5;3;9;3;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;22:35;A 62;1;6;8;2;2;5;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;22:34;A 62;1;5;9;0;0;2;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;22:33;A 62;1;6;7;1;1;3;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;22:32;A 62;1;3;7;0;1;1;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;22:31;A 62;1;8;13;3;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;22:30;A 62;1;2;4;0;0;3;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;22:29;A 62;1;3;11;1;0;2;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;22:28;A 62;1;6;13;3;5;8;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;22:27;A 62;1;5;16;1;2;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.01.2024;22:26;A 62;1;5;14;2;6;2;18;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
