Datum;Uhrzeit;Bezeichnung;Intervall;V11Z;V11B;V12Z;V12B;V13Z;V13B;D21Z;D21B;V31Z;V31B;V32Z;V32B;V33Z;V33B;V41Z;V41B;V42Z;V42B;V43Z;V43B;T1-T2_Anf_32Z;T1-T2_Anf_32B;T3-T4_Anf_38Z;T3-T4_Anf_38B;V14Z;V14B;V40Z;V40B;T5-T6_Anf_31Z;T5-T6_Anf_31B
18.03.2025;23:56;A181;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;1;2;2;2;0;0
18.03.2025;23:55;A181;1;0;0;1;2;1;2;0;100;0;0;0;0;0;0;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18.03.2025;23:53;A181;1;0;0;2;1;1;4;0;100;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1;1
18.03.2025;23:52;A181;1;0;0;2;2;0;0;0;100;0;0;0;0;0;0;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18.03.2025;23:51;A181;1;0;0;0;0;1;4;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
18.03.2025;23:50;A181;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
18.03.2025;23:49;A181;1;0;0;0;0;0;0;0;100;0;0;3;6;4;4;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0
18.03.2025;23:48;A181;1;0;0;1;2;0;0;0;100;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0
18.03.2025;23:47;A181;1;0;0;2;4;0;0;0;100;0;0;3;5;4;9;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
18.03.2025;23:46;A181;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0
18.03.2025;23:45;A181;1;0;0;0;0;0;0;0;100;0;0;1;2;1;3;1;22;1;3;0;0;0;0;0;0;0;0;0;0;0;0
18.03.2025;23:44;A181;1;0;0;2;1;1;1;0;100;0;0;0;0;0;0;2;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18.03.2025;23:43;A181;1;0;0;1;1;0;0;0;100;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18.03.2025;23:42;A181;1;0;0;2;4;2;7;0;100;0;0;1;2;1;2;0;0;0;0;1;2;0;0;0;0;0;0;1;1;0;0
18.03.2025;23:41;A181;1;1;1;1;1;1;1;0;100;0;0;0;0;0;0;2;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18.03.2025;23:40;A181;1;0;0;0;0;0;0;0;100;0;0;1;2;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18.03.2025;23:39;A181;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
18.03.2025;23:38;A181;1;0;0;1;1;2;11;0;100;0;0;0;0;0;0;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0
18.03.2025;23:37;A181;1;0;0;1;2;0;0;0;100;0;0;1;1;2;3;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
18.03.2025;23:36;A181;1;0;0;1;1;0;1;0;100;0;0;1;3;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18.03.2025;23:35;A181;1;0;0;2;2;3;7;0;100;0;0;1;3;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18.03.2025;23:33;A181;1;0;0;0;0;0;0;0;100;0;0;0;0;1;2;1;1;0;0;0;0;1;3;0;0;0;0;0;0;0;0
18.03.2025;23:32;A181;1;0;0;1;3;1;2;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0
18.03.2025;23:29;A181;1;0;0;0;0;1;1;0;100;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;2;0;0;0;0
18.03.2025;23:28;A181;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;1;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0
18.03.2025;23:27;A181;1;0;0;1;1;0;0;0;100;0;0;0;0;0;0;1;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18.03.2025;23:26;A181;1;0;0;0;0;0;0;0;100;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
18.03.2025;23:25;A181;1;0;0;0;0;0;0;0;100;0;0;2;11;2;30;0;0;0;4;0;0;0;0;1;1;1;2;0;0;0;0
18.03.2025;23:24;A181;1;0;0;2;6;1;3;0;100;0;0;0;0;0;0;0;15;1;19;1;2;0;0;0;0;0;0;0;0;0;0
18.03.2025;23:22;A181;1;0;0;0;0;0;0;0;100;0;0;1;6;3;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18.03.2025;23:21;A181;1;0;0;1;2;1;3;0;100;0;0;0;0;0;0;1;7;0;31;0;0;0;0;0;0;0;1;0;0;0;0
18.03.2025;23:20;A181;1;0;0;1;2;1;4;0;100;0;0;1;2;3;6;1;38;2;5;1;1;0;0;0;0;1;0;0;0;0;0
18.03.2025;23:19;A181;1;0;0;1;1;0;0;0;100;0;0;1;2;1;3;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18.03.2025;23:18;A181;1;0;0;1;2;1;2;0;100;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18.03.2025;23:16;A181;1;0;0;2;4;0;0;0;100;0;0;3;6;3;4;1;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18.03.2025;23:15;A181;1;0;0;3;3;1;2;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18.03.2025;23:13;A181;1;0;0;0;0;1;8;0;100;0;0;2;3;3;8;1;2;0;0;0;0;0;0;0;0;1;1;1;1;0;0
18.03.2025;23:12;A181;1;0;0;2;5;0;0;0;100;0;0;1;5;1;7;3;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0
