Datum;Uhrzeit;Bezeichnung;Intervall;TF41_AFZ;TF41_AFB;TB41_AFZ;TB41_AFB;TF41a_AFZ;TF41a_AFB;TB41a_AFZ;TB41a_AFB
26.07.2024;00:43;A115;1;0;0;0;0;0;0;0;0
26.07.2024;00:42;A115;1;0;0;0;0;0;0;0;0
26.07.2024;00:41;A115;1;0;0;0;0;0;0;0;0
26.07.2024;00:40;A115;1;0;0;0;0;0;0;0;0
26.07.2024;00:39;A115;1;0;0;0;0;0;0;0;0
26.07.2024;00:38;A115;1;0;0;0;0;0;0;0;0
26.07.2024;00:37;A115;1;0;0;0;0;0;0;0;0
26.07.2024;00:36;A115;1;0;0;0;0;0;0;0;0
26.07.2024;00:35;A115;1;0;0;0;0;0;0;0;0
26.07.2024;00:34;A115;1;0;0;0;0;0;0;0;0
26.07.2024;00:33;A115;1;0;0;0;0;0;0;0;0
26.07.2024;00:32;A115;1;0;0;0;0;0;0;0;0
26.07.2024;00:31;A115;1;0;0;0;0;0;0;0;0
26.07.2024;00:30;A115;1;0;0;0;0;0;0;0;0
26.07.2024;00:29;A115;1;0;0;0;0;0;0;0;0
26.07.2024;00:28;A115;1;0;0;0;0;0;0;0;0
26.07.2024;00:27;A115;1;0;0;0;0;0;0;0;0
26.07.2024;00:26;A115;1;0;0;0;0;0;0;0;0
26.07.2024;00:25;A115;1;0;0;0;0;0;0;0;0
26.07.2024;00:24;A115;1;0;0;0;0;0;0;0;0
26.07.2024;00:23;A115;1;0;0;0;0;0;0;0;0
26.07.2024;00:22;A115;1;0;0;0;0;0;0;0;0
26.07.2024;00:21;A115;1;0;0;0;0;0;0;0;0
26.07.2024;00:20;A115;1;0;0;0;0;0;0;0;0
26.07.2024;00:19;A115;1;0;0;0;0;0;0;0;0
26.07.2024;00:18;A115;1;0;0;0;0;0;0;0;0
26.07.2024;00:17;A115;1;0;0;0;0;0;0;0;0
26.07.2024;00:16;A115;1;0;0;0;0;0;0;0;0
26.07.2024;00:15;A115;1;0;0;0;0;0;0;0;0
26.07.2024;00:14;A115;1;0;0;0;0;0;0;0;0
26.07.2024;00:13;A115;1;0;0;0;0;0;0;0;0
26.07.2024;00:12;A115;1;0;0;0;0;0;0;0;0
26.07.2024;00:11;A115;1;0;0;0;0;0;0;0;0
26.07.2024;00:10;A115;1;0;0;0;0;0;0;0;0
26.07.2024;00:09;A115;1;0;0;0;0;0;0;0;0
26.07.2024;00:08;A115;1;0;0;0;0;0;0;0;0
26.07.2024;00:07;A115;1;0;0;0;0;0;0;0;0
26.07.2024;00:06;A115;1;0;0;0;0;0;0;0;0
26.07.2024;00:05;A115;1;0;0;0;0;0;0;0;0
26.07.2024;00:04;A115;1;0;0;0;0;0;0;0;0
26.07.2024;00:03;A115;1;0;0;0;0;0;0;0;0
26.07.2024;00:02;A115;1;0;0;0;0;0;0;0;0
26.07.2024;00:01;A115;1;0;0;0;0;0;0;0;0
26.07.2024;00:00;A115;1;0;0;0;0;0;0;0;0
25.07.2024;23:59;A115;1;0;0;0;0;0;0;0;0
25.07.2024;23:58;A115;1;0;0;0;0;0;0;0;0
25.07.2024;23:57;A115;1;0;0;0;0;0;0;0;0
25.07.2024;23:56;A115;1;0;0;0;0;0;0;0;0
25.07.2024;23:55;A115;1;0;0;0;0;0;0;0;0
25.07.2024;23:54;A115;1;0;0;0;0;0;0;0;0
