Datum;Uhrzeit;Bezeichnung;Intervall;T1Z;T1B;T2Z;T2B;V5Z;V5B;V11Z;V11B;V51Z;V51B;V111Z;V111B
26.02.2024;22:02;A 85;1;0;0;0;0;2;2;3;5;2;3;4;10
26.02.2024;22:01;A 85;1;0;0;0;0;1;2;7;7;2;3;6;9
26.02.2024;22:00;A 85;1;0;0;0;0;4;4;6;5;3;4;3;5
26.02.2024;21:59;A 85;1;0;0;0;0;0;0;5;7;0;0;4;7
26.02.2024;21:58;A 85;1;0;0;0;0;1;1;3;3;1;1;4;5
26.02.2024;21:57;A 85;1;0;0;0;0;0;0;2;2;0;0;1;1
26.02.2024;21:56;A 85;1;0;0;0;0;2;2;6;8;2;3;5;7
26.02.2024;21:55;A 85;1;0;0;0;0;0;0;3;3;0;0;3;4
26.02.2024;21:54;A 85;1;0;0;0;0;1;1;2;3;1;1;1;1
26.02.2024;21:53;A 85;1;0;0;0;0;2;2;4;5;2;3;4;5
26.02.2024;21:52;A 85;1;0;0;0;0;0;0;0;0;0;0;0;0
26.02.2024;21:51;A 85;1;0;0;0;0;4;8;4;4;4;5;3;4
26.02.2024;21:50;A 85;1;0;0;0;0;1;1;2;3;1;1;2;3
26.02.2024;21:49;A 85;1;0;0;0;0;1;1;1;1;1;1;1;1
26.02.2024;21:48;A 85;1;0;0;0;0;4;4;4;5;4;5;5;6
26.02.2024;21:47;A 85;1;0;0;0;0;2;2;2;3;2;2;2;3
26.02.2024;21:46;A 85;1;0;0;0;0;2;2;5;5;2;3;4;5
26.02.2024;21:45;A 85;1;0;0;0;0;0;0;2;4;0;0;3;4
26.02.2024;21:44;A 85;1;0;0;0;0;2;4;2;2;3;4;1;1
26.02.2024;21:43;A 85;1;0;0;0;0;3;31;2;3;5;27;2;2
26.02.2024;21:42;A 85;1;0;0;1;1;4;4;8;11;4;6;7;10
26.02.2024;21:41;A 85;1;0;0;0;0;1;1;2;2;1;1;2;2
26.02.2024;21:40;A 85;1;0;0;0;0;0;0;2;2;0;0;2;3
26.02.2024;21:39;A 85;1;0;0;0;0;2;2;0;0;2;3;0;0
26.02.2024;21:38;A 85;1;0;0;0;0;4;4;4;6;4;5;5;9
26.02.2024;21:37;A 85;1;0;0;0;0;2;2;2;3;2;2;1;1
26.02.2024;21:36;A 85;1;0;0;0;0;3;2;9;10;3;3;9;12
26.02.2024;21:35;A 85;1;1;1;0;0;4;4;1;1;4;5;1;1
26.02.2024;21:34;A 85;1;0;0;0;0;0;0;5;5;0;0;4;5
26.02.2024;21:33;A 85;1;0;0;0;0;2;2;7;8;2;2;6;8
26.02.2024;21:32;A 85;1;0;0;0;0;4;3;1;1;4;5;1;1
26.02.2024;21:31;A 85;1;0;0;0;0;5;5;5;4;5;7;4;6
26.02.2024;21:30;A 85;1;0;0;0;0;3;3;8;9;3;6;7;10
26.02.2024;21:29;A 85;1;0;0;0;0;2;2;14;19;2;2;12;18
26.02.2024;21:28;A 85;1;0;0;0;0;2;2;1;1;2;3;2;4
26.02.2024;21:27;A 85;1;0;0;0;0;3;2;2;3;3;4;2;3
26.02.2024;21:26;A 85;1;0;0;0;0;4;3;0;0;4;5;0;0
26.02.2024;21:25;A 85;1;0;0;0;0;2;2;2;2;2;2;2;3
26.02.2024;21:24;A 85;1;0;0;0;0;0;0;4;4;0;0;4;5
26.02.2024;21:23;A 85;1;0;0;0;0;6;7;3;3;6;8;3;4
26.02.2024;21:22;A 85;1;0;0;0;0;2;2;2;2;2;2;2;3
26.02.2024;21:21;A 85;1;0;0;0;0;2;2;1;1;2;2;1;2
26.02.2024;21:20;A 85;1;0;0;0;0;3;3;2;1;3;4;1;1
26.02.2024;21:19;A 85;1;0;0;0;0;0;0;4;4;1;1;4;5
26.02.2024;21:18;A 85;1;0;0;0;0;4;4;0;0;3;4;0;1
26.02.2024;21:17;A 85;1;0;0;0;0;3;3;2;2;3;4;2;2
26.02.2024;21:16;A 85;1;0;0;0;0;0;0;8;9;0;0;7;11
26.02.2024;21:15;A 85;1;0;0;0;0;3;3;2;2;3;4;2;3
26.02.2024;21:14;A 85;1;0;0;0;0;3;3;2;2;4;4;2;2
26.02.2024;21:13;A 85;1;0;0;0;0;2;2;3;4;2;2;3;4
26.02.2024;21:12;A 85;1;0;0;0;0;1;1;6;6;2;2;5;6
26.02.2024;21:11;A 85;1;0;0;0;0;8;8;5;5;7;9;3;4
26.02.2024;21:10;A 85;1;0;0;0;0;2;2;7;8;2;2;7;9
26.02.2024;21:09;A 85;1;0;0;0;0;1;1;9;19;1;1;8;21
26.02.2024;21:08;A 85;1;0;0;1;1;2;2;0;0;2;2;0;0
26.02.2024;21:07;A 85;1;0;0;0;0;5;5;2;2;6;7;2;3
26.02.2024;21:06;A 85;1;0;0;0;0;2;1;5;4;2;2;5;10
