Datum;Uhrzeit;Bezeichnung;Intervall;V21Z;V21B;V81Z;V81B;TF32Z;TF32B;TF32aZ;TF32aB;TB32Z;TB32B;TB32aZ;TB32aB;MP1Z;MP1B;MP2Z;MP2B;MP3Z;MP3B;MP4Z;MP4B;MP5Z;MP5B;MP6Z;MP6B
28.04.2024;23:39;A127;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;23:38;A127;1;1;9;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;23:37;A127;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;23:36;A127;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;23:35;A127;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;23:34;A127;1;1;4;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;23:33;A127;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;23:32;A127;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;23:31;A127;1;2;3;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;23:30;A127;1;3;18;2;5;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;23:29;A127;1;1;6;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;23:28;A127;1;1;4;3;10;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;23:27;A127;1;0;0;1;7;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;23:26;A127;1;1;6;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;23:25;A127;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;23:24;A127;1;0;0;5;11;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;23:23;A127;1;1;12;5;13;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;23:22;A127;1;1;3;1;6;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;23:21;A127;1;1;6;3;10;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;23:20;A127;1;1;4;3;11;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;23:19;A127;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;23:18;A127;1;4;36;1;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;23:17;A127;1;2;12;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;23:16;A127;1;0;0;2;6;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;23:15;A127;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;23:14;A127;1;0;0;2;6;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;23:13;A127;1;0;0;1;10;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;23:12;A127;1;0;0;2;2;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;23:11;A127;1;1;6;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;23:10;A127;1;1;5;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;23:09;A127;1;0;0;4;14;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;23:08;A127;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;23:07;A127;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;23:06;A127;1;0;0;2;3;0;0;0;0;0;0;0;0;;;;;;;;;;;;
