Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D13Z;D13B;D21Z;D21B;D22Z;D22B;D31Z;D31B;D32Z;D32B;D41Z;D41B;D42Z;D42B;MP1Z;MP1B;MP2Z;MP2B;MP3Z;MP3B;MP4Z;MP4B;MP5Z;MP5B;Anf_35Z;Anf_35B;Anf_41Z;Anf_41B
16.01.2025;15:45;A 70;1;1;2;5;76;5;27;2;2;3;3;0;0;0;26;0;100;3;4;0;0;0;0;;;;;;;;;;
16.01.2025;15:44;A 70;1;0;0;3;43;4;5;8;10;4;3;0;0;1;22;0;100;3;2;0;0;0;0;;;;;;;;;;
16.01.2025;15:43;A 70;1;0;0;6;84;5;78;8;10;2;2;0;0;2;81;0;100;3;7;0;0;0;0;;;;;;;;;;
16.01.2025;15:42;A 70;1;0;10;4;53;4;59;9;53;6;17;0;0;5;51;0;100;1;1;0;0;0;0;;;;;;;;;;
16.01.2025;15:41;A 70;1;2;41;6;29;7;60;8;60;4;3;0;0;5;23;0;100;0;0;1;2;2;3;;;;;;;;;;
16.01.2025;15:40;A 70;1;0;0;7;47;3;95;2;4;1;2;0;0;3;79;0;100;2;9;1;2;0;0;;;;;;;;;;
16.01.2025;15:39;A 70;1;1;2;8;39;7;83;5;15;1;49;0;0;6;58;0;100;3;39;0;0;0;0;;;;;;;;;;
16.01.2025;15:38;A 70;1;0;0;0;100;0;100;6;7;3;12;0;0;0;100;0;100;3;10;0;0;0;0;;;;;;;;;;
16.01.2025;15:37;A 70;1;0;1;1;48;1;94;17;26;3;2;0;0;1;96;0;100;3;53;0;0;0;0;;;;;;;;;;
16.01.2025;15:36;A 70;1;3;34;2;28;3;36;4;13;1;61;0;0;4;35;0;100;1;87;0;0;1;2;;;;;;;;;;
16.01.2025;15:35;A 70;1;1;5;1;76;1;85;7;35;3;3;0;0;1;42;0;100;0;0;0;0;0;0;;;;;;;;;;
16.01.2025;15:34;A 70;1;0;0;3;81;3;88;13;61;4;5;0;0;3;34;0;100;2;2;0;0;0;0;;;;;;;;;;
16.01.2025;15:33;A 70;1;1;2;8;61;2;35;5;90;1;1;0;0;2;11;0;100;0;0;0;0;0;0;;;;;;;;;;
16.01.2025;15:32;A 70;1;0;0;4;36;5;36;10;54;2;4;0;0;2;35;0;100;1;66;0;0;0;0;;;;;;;;;;
16.01.2025;15:31;A 70;1;0;0;2;81;3;28;13;17;2;1;0;0;7;83;0;100;1;33;1;2;1;2;;;;;;;;;;
16.01.2025;15:30;A 70;1;2;30;4;47;5;39;6;35;4;5;0;0;6;53;0;100;2;54;0;0;0;0;;;;;;;;;;
16.01.2025;15:29;A 70;1;1;8;1;69;1;96;16;50;9;10;0;0;1;69;0;100;2;22;0;0;0;0;;;;;;;;;;
16.01.2025;15:28;A 70;1;3;83;5;81;4;87;19;58;7;8;0;0;3;78;0;100;2;40;0;0;0;0;;;;;;;;;;
16.01.2025;15:27;A 70;1;1;45;5;48;6;80;11;82;8;6;0;0;2;70;0;100;1;1;0;0;0;0;;;;;;;;;;
16.01.2025;15:26;A 70;1;2;59;3;63;3;51;9;78;4;3;0;0;1;14;0;100;0;51;0;0;0;0;;;;;;;;;;
16.01.2025;15:25;A 70;1;1;1;2;3;3;4;9;51;4;4;0;0;3;11;0;100;1;100;0;0;0;0;;;;;;;;;;
16.01.2025;15:24;A 70;1;1;2;4;28;4;47;6;81;8;11;0;0;4;36;0;100;4;85;1;2;1;2;;;;;;;;;;
16.01.2025;15:23;A 70;1;0;0;1;89;1;78;7;28;9;7;0;0;0;100;0;100;4;5;0;0;0;0;;;;;;;;;;
16.01.2025;15:22;A 70;1;1;2;3;63;5;79;6;55;7;15;0;0;4;66;0;100;0;0;0;0;0;0;;;;;;;;;;
16.01.2025;15:21;A 70;1;0;27;4;32;7;55;3;40;9;24;0;0;8;42;0;100;0;0;0;0;0;0;;;;;;;;;;
16.01.2025;15:20;A 70;1;1;48;3;53;4;87;9;66;10;11;0;0;3;64;0;100;2;30;0;0;0;0;;;;;;;;;;
