Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D21Z;D21B;D31Z;D31B;D41Z;D41B;MP1Z;MP1B;MP2Z;MP2B;MP3Z;MP3B
16.01.2025;16:07;A111;1;6;58;8;23;5;78;0;0;0;0;0;0;0;0
16.01.2025;16:06;A111;1;3;11;2;84;17;38;0;0;0;0;0;0;0;0
16.01.2025;16:05;A111;1;3;26;5;52;6;71;0;0;0;0;0;0;0;0
16.01.2025;16:04;A111;1;6;11;1;70;15;24;0;0;0;0;0;0;0;0
16.01.2025;16:03;A111;1;5;6;2;12;5;55;2;3;0;0;0;0;0;0
16.01.2025;16:02;A111;1;11;14;2;4;7;30;0;0;0;0;0;0;0;0
16.01.2025;16:01;A111;1;8;79;3;3;0;0;0;0;0;0;0;0;0;0
16.01.2025;16:00;A111;1;11;58;0;97;3;7;0;0;0;0;0;0;0;0
16.01.2025;15:59;A111;1;0;96;6;15;4;73;0;0;0;0;0;0;0;0
16.01.2025;15:58;A111;1;9;76;3;19;2;2;0;0;0;0;0;0;0;0
16.01.2025;15:57;A111;1;9;64;0;100;9;9;0;0;0;0;0;0;0;0
16.01.2025;15:56;A111;1;5;83;6;72;7;7;1;1;0;0;0;0;0;0
16.01.2025;15:55;A111;1;7;79;9;36;6;15;0;0;0;0;0;0;0;0
16.01.2025;15:54;A111;1;9;41;5;75;7;42;1;0;0;0;0;0;0;0
16.01.2025;15:53;A111;1;3;31;0;0;9;13;0;0;0;0;0;0;0;0
16.01.2025;15:52;A111;1;10;14;3;3;2;4;0;0;0;0;0;0;0;0
16.01.2025;15:51;A111;1;8;16;1;1;7;10;0;0;0;0;0;0;0;0
16.01.2025;15:50;A111;1;2;13;1;2;11;13;1;0;0;0;0;0;0;0
16.01.2025;15:49;A111;1;3;90;10;26;5;9;1;1;0;0;0;0;0;0
16.01.2025;15:48;A111;1;7;78;2;88;12;17;1;1;0;0;0;0;0;0
16.01.2025;15:47;A111;1;2;91;9;69;8;9;0;0;0;0;0;0;0;0
16.01.2025;15:46;A111;1;8;77;7;75;5;58;0;0;0;0;0;0;0;0
16.01.2025;15:45;A111;1;5;76;0;100;10;14;1;53;0;0;0;0;0;0
16.01.2025;15:44;A111;1;1;97;5;86;4;8;0;0;0;0;0;0;0;0
16.01.2025;15:43;A111;1;6;80;8;66;2;3;0;0;0;0;0;0;0;0
16.01.2025;15:42;A111;1;11;63;1;89;4;4;0;0;0;0;0;0;0;0
16.01.2025;15:41;A111;1;4;89;6;70;10;11;0;0;0;0;0;0;0;0
16.01.2025;15:40;A111;1;8;76;3;33;8;14;0;0;0;0;0;0;0;0
16.01.2025;15:39;A111;1;10;55;1;22;13;26;0;0;0;0;0;0;0;0
16.01.2025;15:38;A111;1;1;4;2;42;6;66;1;8;0;0;0;0;0;0
16.01.2025;15:37;A111;1;8;50;1;69;8;57;0;0;0;0;0;0;0;0
16.01.2025;15:36;A111;1;6;76;0;0;8;20;0;0;0;0;0;0;0;0
16.01.2025;15:35;A111;1;4;69;11;28;5;65;0;0;0;0;0;0;0;0
16.01.2025;15:34;A111;1;7;37;0;0;6;37;0;0;0;0;0;0;0;0
16.01.2025;15:33;A111;1;9;12;1;4;5;6;0;0;0;0;0;0;0;0
16.01.2025;15:32;A111;1;2;6;3;48;4;4;0;0;0;0;0;0;0;0
16.01.2025;15:31;A111;1;8;12;7;71;2;2;1;7;0;0;0;0;0;0
16.01.2025;15:30;A111;1;7;11;1;88;10;10;1;84;0;0;0;0;0;0
