Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D13Z;D13B;D14Z;D14B;D21Z;D21B;D22Z;D22B;D31Z;D31B;D32Z;D32B;D33Z;D33B;D41Z;D41B;D42Z;D42B;D57Z;D57B;A5_M1_460Z;A5_M1_460B;A57_M2_464Z;A57_M2_464B;T7_8Z;T7_8B;D43Z;D43B
18.01.2025;00:05;A 10;1;1;2;0;0;2;3;0;0;0;100;0;100;0;0;1;1;1;3;2;3;0;0;1;5;0;0;1;2;0;0;2;3
18.01.2025;00:04;A 10;1;1;2;2;2;0;0;0;0;0;100;0;100;1;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;2;3
18.01.2025;00:03;A 10;1;1;3;1;1;0;0;0;0;0;100;0;100;0;0;2;3;1;2;1;42;1;45;0;0;0;0;0;0;0;0;2;2
18.01.2025;00:02;A 10;1;0;0;1;1;0;0;0;0;0;100;0;100;1;2;1;2;2;2;2;64;1;30;0;0;0;0;0;0;1;60;2;3
18.01.2025;00:01;A 10;1;0;0;1;2;0;0;0;0;0;100;0;100;1;2;1;2;1;2;1;21;0;18;0;0;0;0;0;0;0;0;0;0
18.01.2025;00:00;A 10;1;0;0;0;0;0;0;1;1;0;100;0;100;2;3;0;0;2;6;3;24;2;30;0;0;0;0;0;0;0;0;2;3
17.01.2025;23:59;A 10;1;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;1;2;1;59;1;47;0;0;0;0;0;0;0;0;3;4
17.01.2025;23:58;A 10;1;1;1;0;0;1;2;0;0;0;100;0;100;1;2;1;2;2;5;2;57;0;0;0;0;1;2;0;0;0;0;2;3
17.01.2025;23:57;A 10;1;0;0;1;2;0;0;0;0;0;100;0;100;2;5;0;0;1;2;0;0;1;40;0;0;0;0;0;0;0;0;0;0
17.01.2025;23:56;A 10;1;0;0;1;1;0;0;0;0;0;100;0;100;1;1;3;4;2;28;0;0;0;0;0;0;0;0;0;0;0;0;3;3
17.01.2025;23:55;A 10;1;3;6;3;5;0;0;0;0;0;100;0;100;0;0;1;1;5;12;1;1;0;0;0;0;1;2;0;0;0;0;4;6
17.01.2025;23:54;A 10;1;2;9;0;0;0;0;1;0;0;100;0;100;1;1;1;1;0;0;1;8;2;3;0;0;0;0;0;0;0;0;2;3
17.01.2025;23:53;A 10;1;0;0;0;0;0;0;0;0;0;100;0;100;3;4;1;1;0;0;2;5;1;5;0;0;0;0;0;0;0;0;3;5
17.01.2025;23:52;A 10;1;0;0;1;1;2;3;0;0;0;100;0;100;0;0;2;3;2;4;1;36;1;25;0;0;0;0;0;0;0;0;1;2
17.01.2025;23:51;A 10;1;1;2;3;4;1;1;0;0;0;100;0;100;1;2;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.01.2025;23:50;A 10;1;0;0;0;0;1;1;0;0;0;100;0;100;0;0;0;3;3;11;0;68;1;69;0;0;0;0;0;0;0;0;0;0
17.01.2025;23:49;A 10;1;2;3;1;1;0;0;0;0;0;100;0;100;2;3;5;5;2;4;1;17;1;10;1;1;0;0;0;0;0;0;0;0
17.01.2025;23:48;A 10;1;0;0;2;3;0;0;0;0;0;100;0;100;1;1;0;0;0;0;1;37;2;25;0;0;0;0;0;0;2;3;3;4
17.01.2025;23:47;A 10;1;2;4;2;4;1;1;0;0;0;100;0;100;2;2;3;5;2;4;1;50;0;0;0;0;0;0;0;0;2;10;1;2
17.01.2025;23:46;A 10;1;1;2;1;2;0;0;0;0;0;100;0;100;0;0;3;4;0;0;1;3;0;0;0;1;0;0;0;0;0;0;1;1
17.01.2025;23:45;A 10;1;2;4;2;2;0;0;0;0;0;100;0;100;3;6;1;2;0;0;1;50;0;0;1;42;0;0;0;0;1;3;2;3
17.01.2025;23:44;A 10;1;3;4;1;2;1;2;0;0;0;100;0;100;3;2;2;2;0;0;1;1;0;0;1;1;0;0;0;0;0;0;1;0
17.01.2025;23:43;A 10;1;2;5;3;5;1;2;0;0;0;100;0;100;1;1;1;1;2;5;1;21;0;0;0;0;0;0;0;0;0;0;1;2
17.01.2025;23:42;A 10;1;1;1;0;0;1;2;0;0;0;100;0;100;0;0;0;0;1;2;1;53;0;0;0;0;0;0;0;0;0;0;3;5
17.01.2025;23:41;A 10;1;0;0;1;2;0;0;0;0;0;100;0;100;0;0;1;1;2;5;2;66;0;0;0;0;0;0;0;0;0;0;2;3
17.01.2025;23:40;A 10;1;2;3;3;5;0;0;0;0;0;100;0;100;0;0;0;0;0;0;1;40;0;0;0;0;0;0;0;0;0;0;6;8
17.01.2025;23:39;A 10;1;2;6;0;0;0;0;0;0;0;100;0;100;0;0;1;1;1;2;1;45;1;5;0;0;0;0;0;0;0;0;2;2
17.01.2025;23:38;A 10;1;1;2;1;1;0;0;0;0;0;100;0;100;3;3;2;3;0;0;0;0;1;21;0;0;0;0;0;0;1;2;4;6
17.01.2025;23:37;A 10;1;0;0;1;2;1;1;1;39;0;100;0;100;2;3;0;1;2;5;0;0;0;0;0;0;0;0;0;0;0;0;2;3
17.01.2025;23:36;A 10;1;0;0;1;1;2;1;1;2;0;100;0;100;1;2;2;3;0;0;2;10;1;1;0;0;0;0;0;0;1;2;2;3
17.01.2025;23:35;A 10;1;1;2;0;0;1;1;0;0;1;77;1;77;2;3;1;1;1;2;1;18;0;0;0;0;0;0;0;0;0;0;4;7
17.01.2025;23:33;A 10;1;0;0;1;1;0;0;1;4;0;100;0;100;0;0;0;0;1;1;1;13;0;17;0;0;0;0;0;0;0;0;0;0
17.01.2025;23:32;A 10;1;1;1;0;0;1;2;0;0;0;100;0;100;0;0;0;0;4;7;1;3;2;58;0;0;0;0;0;0;1;3;0;0
17.01.2025;23:31;A 10;1;1;2;3;3;0;0;0;0;0;100;0;100;0;0;0;0;1;2;1;7;1;96;0;0;0;0;0;0;0;0;1;2
17.01.2025;23:30;A 10;1;0;0;0;0;0;0;0;0;0;100;0;100;1;2;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2
17.01.2025;23:29;A 10;1;2;2;0;0;0;0;0;0;0;100;0;100;2;2;2;3;0;0;2;3;1;2;0;0;0;0;0;0;0;0;2;3
17.01.2025;23:28;A 10;1;0;0;1;2;1;1;0;0;0;100;0;100;1;2;0;0;1;2;0;53;0;0;0;0;0;0;0;0;0;0;5;7
17.01.2025;23:27;A 10;1;1;2;1;2;0;0;0;0;0;100;0;100;0;0;3;4;2;4;1;42;0;0;0;0;0;0;0;0;0;0;1;1
17.01.2025;23:26;A 10;1;0;0;1;1;1;2;0;0;0;100;0;100;1;1;1;1;0;0;1;58;1;1;0;0;0;0;0;0;0;0;2;3
17.01.2025;23:25;A 10;1;0;0;0;0;1;1;0;0;0;100;0;100;2;4;3;5;1;2;1;3;0;0;0;0;0;0;0;0;1;1;2;3
17.01.2025;23:24;A 10;1;1;1;0;0;0;0;0;0;0;100;0;100;4;5;4;6;0;0;1;35;0;0;0;0;0;0;0;0;2;5;1;1
17.01.2025;23:23;A 10;1;0;0;1;3;0;0;0;0;0;100;0;100;2;4;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;4;6
17.01.2025;23:22;A 10;1;0;0;0;0;0;0;0;0;0;100;0;100;1;1;0;0;1;2;0;100;0;0;0;0;1;2;0;0;0;0;1;2
17.01.2025;23:21;A 10;1;0;0;2;3;0;0;0;0;0;100;0;100;1;1;1;1;0;2;1;6;0;0;0;0;0;0;0;0;0;0;4;7
17.01.2025;23:20;A 10;1;0;0;0;0;0;0;0;0;0;100;0;100;3;5;2;3;3;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17.01.2025;23:19;A 10;1;1;2;0;0;0;0;0;0;0;100;0;100;0;0;2;3;2;7;0;16;0;0;0;0;0;0;0;0;0;0;1;1
17.01.2025;23:18;A 10;1;1;1;2;2;1;2;1;72;0;100;0;100;1;1;1;1;3;7;2;58;0;0;0;0;0;0;0;0;0;0;1;1
17.01.2025;23:17;A 10;1;1;2;1;1;0;0;0;0;0;100;0;100;3;4;3;4;1;2;0;0;0;0;0;0;0;0;0;0;2;3;3;8
17.01.2025;23:16;A 10;1;1;2;1;2;0;0;1;5;0;100;0;100;1;2;0;0;2;3;2;10;0;0;0;0;0;0;0;0;0;0;2;4
17.01.2025;23:15;A 10;1;1;2;2;4;0;0;0;20;0;100;0;100;3;9;1;3;1;1;1;1;0;0;0;0;0;0;0;0;0;0;3;4
17.01.2025;23:14;A 10;1;2;4;1;3;1;2;1;44;0;100;0;100;4;4;6;7;1;2;1;1;0;0;0;0;0;0;0;0;0;0;3;4
17.01.2025;23:13;A 10;1;2;3;1;2;1;1;0;0;0;100;0;100;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;2
17.01.2025;23:12;A 10;1;0;0;1;2;0;0;0;0;0;100;0;100;1;1;1;0;1;2;0;19;0;0;1;6;0;0;1;2;0;0;3;4
17.01.2025;23:11;A 10;1;1;2;0;0;1;1;0;0;0;100;0;100;1;2;1;1;1;2;2;67;0;0;0;0;0;0;0;0;0;0;3;5
17.01.2025;23:10;A 10;1;0;0;1;1;0;0;0;0;0;100;0;100;2;3;1;2;1;3;1;25;0;0;0;0;0;0;0;0;0;0;3;4
