Datum;Uhrzeit;Bezeichnung;Intervall;V51_A9/M2_510Z;V51_A9/M2_510B;H51_A135/1_492Z;H51_A135/1_492B;A51_M1_493Z;A51_M1_493B;H55_A110/M3_12XZ;H55_A110/M3_12XB;A55_M2_1290/12XZ;A55_M2_1290/12XB;MP3_SL_A110Z;MP3_SL_A110B;Anf_32Z;Anf_32B
04.12.2024;00:13;A 74;1;0;0;1;13;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:12;A 74;1;0;0;0;0;3;15;0;0;0;0;0;0;0;0
04.12.2024;00:11;A 74;1;0;0;1;20;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:10;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:09;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:08;A 74;1;0;0;1;15;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:07;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:06;A 74;1;0;0;0;0;2;2;0;0;0;0;0;0;0;0
04.12.2024;00:05;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:04;A 74;1;0;0;1;11;1;9;0;0;0;0;0;0;0;0
04.12.2024;00:03;A 74;1;0;0;1;22;2;17;0;0;0;0;0;0;0;0
04.12.2024;00:02;A 74;1;0;0;0;0;1;3;0;0;0;0;0;0;0;0
04.12.2024;00:01;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;00:00;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.12.2024;23:59;A 74;1;0;0;0;0;2;20;0;0;0;0;0;0;0;0
03.12.2024;23:58;A 74;1;0;0;0;0;0;0;0;0;1;12;0;0;0;0
03.12.2024;23:57;A 74;1;0;0;0;0;0;0;0;0;1;4;0;0;0;0
03.12.2024;23:56;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.12.2024;23:55;A 74;1;0;0;2;10;1;6;0;0;0;0;0;0;0;0
03.12.2024;23:54;A 74;1;0;0;2;18;0;5;0;0;0;0;0;0;0;0
03.12.2024;23:53;A 74;1;0;0;0;0;3;8;0;0;0;0;0;0;0;0
03.12.2024;23:52;A 74;1;0;0;0;0;1;6;0;0;0;0;0;0;0;0
03.12.2024;23:51;A 74;1;0;0;1;16;0;0;0;0;0;0;0;0;0;0
03.12.2024;23:50;A 74;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
