Datum;Uhrzeit;Bezeichnung;Intervall;D21Z;D21B;D22Z;D22B;D31Z;D31B;D32Z;D32B;D33Z;D33B;D41Z;D41B;D42Z;D42B;MP1Z;MP1B;MP2Z;MP2B;T1_2Z;T1_2B
03.12.2024;23:49;A 96;1;0;100;0;100;0;0;2;17;0;0;0;0;0;0;0;0;0;0;0;0
03.12.2024;23:48;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
03.12.2024;23:47;A 96;1;0;100;0;100;0;0;0;0;0;0;3;4;1;1;0;0;0;0;0;0
03.12.2024;23:46;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.12.2024;23:45;A 96;1;0;100;0;100;1;17;0;0;1;12;1;1;1;1;0;0;0;0;0;0
03.12.2024;23:44;A 96;1;0;100;0;100;1;57;1;16;0;0;0;0;0;0;0;0;0;0;0;0
03.12.2024;23:43;A 96;1;0;100;0;100;0;0;0;0;0;0;3;2;2;1;0;0;0;0;0;0
03.12.2024;23:42;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.12.2024;23:41;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
03.12.2024;23:40;A 96;1;0;100;0;100;1;1;0;0;0;0;2;4;2;3;0;0;0;0;0;0
03.12.2024;23:39;A 96;1;0;100;0;100;0;0;0;0;0;0;2;1;1;1;0;0;0;0;0;0
03.12.2024;23:38;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.12.2024;23:37;A 96;1;0;100;0;100;0;0;0;0;1;2;1;1;1;1;0;0;0;0;0;0
03.12.2024;23:36;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
03.12.2024;23:35;A 96;1;0;100;0;100;0;0;0;0;0;0;2;3;1;1;0;0;0;0;0;0
03.12.2024;23:34;A 96;1;0;100;0;100;1;8;1;1;0;40;1;1;0;0;0;0;0;0;0;0
03.12.2024;23:33;A 96;1;0;100;0;100;0;0;0;0;1;23;0;0;0;0;0;0;0;0;0;0
03.12.2024;23:32;A 96;1;0;100;0;100;0;0;0;0;0;0;2;6;6;9;0;0;0;0;0;0
03.12.2024;23:31;A 96;1;0;100;0;100;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0
03.12.2024;23:30;A 96;1;0;100;0;100;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0
03.12.2024;23:29;A 96;1;0;100;0;100;0;0;0;0;0;0;2;2;3;3;0;0;0;0;0;0
03.12.2024;23:28;A 96;1;0;100;0;100;1;2;0;0;0;0;1;0;1;1;0;0;0;0;0;0
03.12.2024;23:27;A 96;1;0;100;0;100;0;0;0;0;0;0;1;1;2;1;1;2;1;2;0;0
03.12.2024;23:26;A 96;1;0;100;0;100;0;0;0;0;0;0;2;1;2;2;0;0;0;0;0;0
03.12.2024;23:25;A 96;1;0;100;0;100;0;9;0;0;0;0;0;0;1;1;0;0;0;0;0;0
03.12.2024;23:24;A 96;1;0;100;0;100;1;60;0;0;0;0;1;1;3;2;0;0;0;0;0;0
03.12.2024;23:23;A 96;1;0;100;0;100;0;0;0;0;0;0;2;2;3;3;0;0;0;0;0;0
03.12.2024;23:22;A 96;1;0;100;0;100;0;0;0;0;0;0;1;1;1;2;0;0;0;0;1;1
03.12.2024;23:21;A 96;1;0;100;0;100;0;0;0;33;0;0;3;3;2;2;0;0;0;0;0;0
03.12.2024;23:20;A 96;1;0;100;0;100;2;30;2;72;0;0;3;2;3;3;0;0;0;0;0;0
03.12.2024;23:19;A 96;1;0;100;0;100;0;0;1;19;0;0;0;0;0;0;0;0;0;0;0;0
03.12.2024;23:18;A 96;1;0;100;0;100;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0
03.12.2024;23:17;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
03.12.2024;23:16;A 96;1;0;100;0;100;0;0;0;0;1;1;0;0;0;0;0;0;0;0;4;15
03.12.2024;23:15;A 96;1;0;100;0;100;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
03.12.2024;23:14;A 96;1;0;100;0;100;0;0;1;20;0;0;2;2;1;0;0;0;0;0;0;0
03.12.2024;23:13;A 96;1;0;100;0;100;0;0;0;0;0;0;2;2;1;1;0;0;0;0;0;0
03.12.2024;23:12;A 96;1;0;100;0;100;3;7;0;0;0;0;1;1;1;0;0;0;0;0;0;0
03.12.2024;23:11;A 96;1;0;100;0;100;0;0;0;0;0;0;1;1;3;3;0;0;0;0;0;0
03.12.2024;23:10;A 96;1;0;100;0;100;1;38;0;0;0;0;2;2;2;3;0;0;0;0;0;0
03.12.2024;23:09;A 96;1;0;100;0;100;1;20;0;0;0;0;1;5;3;5;0;0;0;0;0;0
03.12.2024;23:08;A 96;1;0;100;0;100;2;28;0;0;0;0;3;3;1;0;0;0;0;0;1;1
03.12.2024;23:07;A 96;1;0;100;0;100;0;32;0;34;0;0;0;0;0;0;0;0;0;0;0;0
03.12.2024;23:06;A 96;1;0;100;0;100;1;76;1;36;0;0;3;3;3;4;0;0;0;0;0;0
03.12.2024;23:05;A 96;1;0;100;0;100;2;25;0;0;0;0;4;3;4;3;0;0;0;0;0;0
03.12.2024;23:04;A 96;1;0;100;0;100;0;0;0;0;0;0;3;7;5;3;0;0;0;0;0;0
03.12.2024;23:03;A 96;1;0;100;0;100;0;0;0;0;0;0;3;3;1;0;0;0;0;0;0;0
03.12.2024;23:02;A 96;1;0;100;0;100;0;0;0;0;1;59;3;5;2;2;0;0;0;0;0;0
03.12.2024;23:01;A 96;1;0;100;0;100;0;0;0;0;0;0;4;3;3;3;0;0;0;0;0;0
03.12.2024;23:00;A 96;1;0;100;0;100;1;1;0;0;1;2;1;0;1;1;0;0;0;0;0;0
03.12.2024;22:59;A 96;1;0;100;0;100;1;90;0;0;0;0;2;2;1;2;0;0;0;0;0;0
03.12.2024;22:58;A 96;1;0;100;0;100;3;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.12.2024;22:57;A 96;1;0;100;0;100;2;73;0;9;0;9;2;2;3;3;1;2;1;2;0;0
03.12.2024;22:56;A 96;1;0;100;0;100;3;69;1;62;1;58;1;1;1;1;0;0;0;0;0;0
03.12.2024;22:55;A 96;1;0;100;0;100;2;67;0;0;0;0;1;1;1;1;0;0;0;0;0;0
03.12.2024;22:54;A 96;1;0;100;0;100;2;3;0;0;1;23;2;1;6;6;1;2;1;2;0;0
03.12.2024;22:53;A 96;1;0;100;0;100;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0
03.12.2024;22:52;A 96;1;0;100;0;100;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
03.12.2024;22:51;A 96;1;0;100;0;100;0;0;0;0;0;0;2;2;1;1;0;0;0;0;0;0
03.12.2024;22:50;A 96;1;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.12.2024;22:49;A 96;1;0;100;0;100;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0
03.12.2024;22:48;A 96;1;0;100;0;100;1;34;0;0;0;0;2;1;4;4;0;0;0;0;0;0
03.12.2024;22:47;A 96;1;0;100;0;100;1;42;0;0;0;0;2;3;1;1;0;0;0;0;0;0
03.12.2024;22:46;A 96;1;0;100;0;100;0;0;0;0;0;0;3;4;2;3;0;0;0;0;0;0
03.12.2024;22:45;A 96;1;0;100;0;100;0;0;0;0;0;0;1;0;2;2;0;0;0;0;0;0
03.12.2024;22:44;A 96;1;0;100;0;100;1;33;0;0;0;0;0;0;1;1;0;0;0;0;0;0
03.12.2024;22:43;A 96;1;0;100;0;100;0;0;0;0;0;0;4;3;4;4;0;0;0;0;0;0
03.12.2024;22:42;A 96;1;0;100;0;100;1;0;2;8;0;0;2;3;3;3;0;0;0;0;0;0
