Datum;Uhrzeit;Bezeichnung;Intervall;D1Z;D1B;D2Z;D2B;FG35HZ;FG35HB;FG35WZ;FG35WB;TS_SchluesselschalterZ;TS_SchluesselschalterB;TS_WarteZ;TS_WarteB;TS_BrandmeldungZ;TS_BrandmeldungB;D3Z;D3B
03.12.2024;23:56;A102;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;2
03.12.2024;23:55;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
03.12.2024;23:54;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.12.2024;23:53;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
03.12.2024;23:52;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.12.2024;23:51;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
03.12.2024;23:50;A102;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1
03.12.2024;23:49;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
03.12.2024;23:48;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
03.12.2024;23:47;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.12.2024;23:46;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.12.2024;23:45;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
03.12.2024;23:44;A102;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.12.2024;23:43;A102;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1
03.12.2024;23:42;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.12.2024;23:41;A102;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1
03.12.2024;23:40;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
03.12.2024;23:39;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
03.12.2024;23:38;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.12.2024;23:37;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.12.2024;23:36;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.12.2024;23:35;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
03.12.2024;23:34;A102;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;3;3
03.12.2024;23:33;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.12.2024;23:32;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.12.2024;23:31;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
03.12.2024;23:30;A102;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;3;3
03.12.2024;23:29;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.12.2024;23:28;A102;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1
03.12.2024;23:27;A102;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1
03.12.2024;23:26;A102;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1
03.12.2024;23:25;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.12.2024;23:24;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
03.12.2024;23:23;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.12.2024;23:22;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.12.2024;23:21;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
03.12.2024;23:20;A102;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;2;2
03.12.2024;23:19;A102;1;2;2;1;1;0;0;0;0;0;0;0;0;0;0;1;1
03.12.2024;23:18;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;2
03.12.2024;23:17;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;2
03.12.2024;23:16;A102;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;2;2
03.12.2024;23:15;A102;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1
03.12.2024;23:14;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.12.2024;23:13;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
03.12.2024;23:12;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.12.2024;23:11;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;2
03.12.2024;23:10;A102;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;2
03.12.2024;23:09;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.12.2024;23:08;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4
03.12.2024;23:07;A102;1;1;1;2;1;0;0;0;0;0;0;0;0;0;0;4;4
03.12.2024;23:06;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;3;3
03.12.2024;23:05;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;2
03.12.2024;23:04;A102;1;2;2;2;1;0;0;0;0;0;0;0;0;0;0;1;1
03.12.2024;23:03;A102;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;2
03.12.2024;23:02;A102;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.12.2024;23:01;A102;1;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.12.2024;23:00;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
03.12.2024;22:59;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;3;3
03.12.2024;22:58;A102;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1
03.12.2024;22:57;A102;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;4;4
03.12.2024;22:56;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
03.12.2024;22:55;A102;1;0;0;4;1;0;0;0;0;0;0;0;0;0;0;6;5
03.12.2024;22:54;A102;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2
03.12.2024;22:53;A102;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.12.2024;22:52;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
03.12.2024;22:51;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.12.2024;22:50;A102;1;3;3;1;0;0;0;0;0;0;0;0;0;0;0;2;2
03.12.2024;22:49;A102;1;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.12.2024;22:48;A102;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;2;2
03.12.2024;22:47;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
03.12.2024;22:46;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.12.2024;22:45;A102;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;2
03.12.2024;22:44;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;3;3
03.12.2024;22:43;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
03.12.2024;22:42;A102;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.12.2024;22:41;A102;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2
03.12.2024;22:40;A102;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1
03.12.2024;22:39;A102;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;2;2
03.12.2024;22:38;A102;1;2;2;1;1;0;0;0;0;0;0;0;0;0;0;1;1
03.12.2024;22:37;A102;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;2;1
03.12.2024;22:36;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.12.2024;22:35;A102;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.12.2024;22:34;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
03.12.2024;22:33;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.12.2024;22:32;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;3;3
03.12.2024;22:31;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5
03.12.2024;22:30;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;5;5
03.12.2024;22:29;A102;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;5;5
03.12.2024;22:28;A102;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
03.12.2024;22:27;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
03.12.2024;22:26;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
03.12.2024;22:25;A102;1;3;3;1;0;0;0;0;0;0;0;0;0;0;0;3;3
03.12.2024;22:24;A102;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1
03.12.2024;22:23;A102;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;3;2
03.12.2024;22:22;A102;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2
03.12.2024;22:21;A102;1;2;2;1;1;0;0;0;0;0;0;0;0;0;0;4;4
03.12.2024;22:20;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
03.12.2024;22:19;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;4;4
03.12.2024;22:18;A102;1;2;2;2;1;0;0;0;0;0;0;0;0;0;0;4;4
03.12.2024;22:17;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;4;5
03.12.2024;22:16;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;5
03.12.2024;22:15;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
03.12.2024;22:14;A102;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2
03.12.2024;22:13;A102;1;4;4;1;0;0;0;0;0;0;0;0;0;0;0;2;1
03.12.2024;22:12;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.12.2024;22:11;A102;1;4;4;0;0;0;0;0;0;0;0;0;0;0;0;4;4
03.12.2024;22:10;A102;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;3;3
03.12.2024;22:09;A102;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;3;3
03.12.2024;22:08;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4
03.12.2024;22:07;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.12.2024;22:06;A102;1;3;3;0;0;0;0;0;0;0;0;0;0;0;0;1;1
03.12.2024;22:05;A102;1;3;3;0;0;0;0;0;0;0;0;0;0;0;0;1;1
03.12.2024;22:04;A102;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;3
03.12.2024;22:03;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;5
03.12.2024;22:02;A102;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1
03.12.2024;22:01;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
03.12.2024;22:00;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.12.2024;21:59;A102;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2
03.12.2024;21:58;A102;1;5;6;0;0;0;0;0;0;0;0;0;0;0;0;3;3
03.12.2024;21:57;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
03.12.2024;21:56;A102;1;0;0;3;1;0;0;0;0;0;0;0;0;0;0;5;4
03.12.2024;21:55;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
03.12.2024;21:54;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4
03.12.2024;21:53;A102;1;2;2;1;1;0;0;0;0;0;0;0;0;0;0;11;10
03.12.2024;21:52;A102;1;3;4;3;2;0;0;0;0;0;0;0;0;0;0;5;5
03.12.2024;21:51;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
03.12.2024;21:50;A102;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2
03.12.2024;21:49;A102;1;2;3;1;0;0;0;0;0;0;0;0;0;0;0;2;2
03.12.2024;21:47;A102;1;3;3;1;0;0;0;0;0;0;0;0;0;0;0;3;3
03.12.2024;21:45;A102;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3
03.12.2024;21:34;A102;1;3;3;0;0;0;0;0;0;0;0;0;0;0;0;2;2
03.12.2024;20:28;A102;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;2;1
03.12.2024;20:25;A102;1;4;3;0;0;0;0;0;0;0;0;0;0;0;0;5;5
03.12.2024;19:42;A102;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;4
03.12.2024;19:41;A102;1;4;4;0;0;0;0;0;0;0;0;0;0;0;0;6;8
03.12.2024;19:29;A102;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;4;3
