Datum;Uhrzeit;Bezeichnung;Intervall;D21Z;D21B;D41Z;D41B;D42Z;D42B;T1Z;T1B;T2Z;T2B;T3Z;T3B;T4Z;T4B
26.06.2024;23:10;A 19;1;1;24;2;20;1;0;0;0;0;0;0;0;0;0
26.06.2024;23:09;A 19;1;0;0;0;0;1;14;0;0;2;6;0;0;0;0
26.06.2024;23:08;A 19;1;1;1;1;4;0;0;0;0;0;0;0;0;0;0
26.06.2024;23:07;A 19;1;0;45;0;0;3;53;0;0;0;0;0;0;0;0
26.06.2024;23:06;A 19;1;1;3;1;21;2;11;0;0;0;0;0;0;1;1
26.06.2024;23:05;A 19;1;2;4;0;0;0;63;0;0;0;0;0;0;0;0
26.06.2024;23:04;A 19;1;1;1;1;60;2;67;0;0;0;0;0;0;0;0
26.06.2024;23:03;A 19;1;0;0;0;0;3;66;0;0;0;0;0;0;0;0
26.06.2024;23:02;A 19;1;1;1;1;1;1;63;0;0;0;0;0;0;0;0
26.06.2024;23:01;A 19;1;1;96;3;5;1;2;0;0;1;2;5;7;0;0
26.06.2024;23:00;A 19;1;1;22;0;0;0;0;0;0;0;0;0;0;0;0
26.06.2024;22:59;A 19;1;0;0;3;25;1;55;0;0;0;0;0;0;0;0
26.06.2024;22:58;A 19;1;1;4;0;0;0;0;0;0;0;0;0;0;0;0
26.06.2024;22:57;A 19;1;2;6;0;19;1;0;0;0;0;0;0;0;2;1
26.06.2024;22:56;A 19;1;2;2;1;42;0;0;0;0;1;1;1;1;0;0
26.06.2024;22:55;A 19;1;0;33;0;0;0;0;0;0;0;0;0;0;1;1
26.06.2024;22:54;A 19;1;1;76;1;2;0;0;0;0;0;0;0;0;0;0
26.06.2024;22:53;A 19;1;1;29;0;0;0;0;0;0;0;0;1;1;0;0
26.06.2024;22:52;A 19;1;0;56;0;54;0;0;0;0;0;0;0;0;0;0
26.06.2024;22:51;A 19;1;1;34;1;5;0;0;0;0;0;0;0;0;0;0
26.06.2024;22:50;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26.06.2024;22:49;A 19;1;0;0;1;55;1;53;0;0;0;0;0;0;0;0
26.06.2024;22:48;A 19;1;3;25;1;3;0;0;0;0;0;0;1;2;0;0
26.06.2024;22:47;A 19;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0
26.06.2024;22:46;A 19;1;3;3;0;0;1;30;0;0;0;0;0;0;0;0
26.06.2024;22:45;A 19;1;1;80;0;0;3;7;0;0;0;0;0;0;1;1
26.06.2024;22:44;A 19;1;4;41;1;1;1;2;0;0;0;0;0;0;0;0
26.06.2024;22:43;A 19;1;5;64;0;0;0;0;0;0;0;0;0;0;1;1
26.06.2024;22:42;A 19;1;2;37;0;0;0;0;0;0;0;0;0;0;0;0
26.06.2024;22:41;A 19;1;1;20;0;0;0;0;0;0;0;0;0;0;0;0
26.06.2024;22:40;A 19;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0
26.06.2024;22:39;A 19;1;0;0;2;44;3;10;0;0;0;0;1;1;0;0
26.06.2024;22:38;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26.06.2024;22:37;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26.06.2024;22:36;A 19;1;1;45;0;0;0;0;1;1;0;0;0;0;0;0
26.06.2024;22:35;A 19;1;2;52;0;0;0;0;0;0;0;0;0;0;0;0
26.06.2024;22:34;A 19;1;0;0;0;0;1;82;0;0;0;0;0;0;0;0
26.06.2024;22:33;A 19;1;0;0;0;0;1;35;0;0;0;0;0;0;0;0
26.06.2024;22:32;A 19;1;1;94;2;2;0;0;0;0;2;6;0;0;0;0
26.06.2024;22:31;A 19;1;2;31;0;0;0;0;0;0;0;0;0;0;0;0
26.06.2024;22:30;A 19;1;1;22;0;0;0;0;0;0;0;0;1;2;0;0
26.06.2024;22:29;A 19;1;2;63;1;6;0;0;0;0;1;1;0;0;0;0
26.06.2024;22:28;A 19;1;0;26;1;28;1;3;0;0;0;0;0;0;1;2
26.06.2024;22:27;A 19;1;1;85;1;35;1;33;0;0;0;0;0;0;0;0
26.06.2024;22:26;A 19;1;1;64;0;0;1;21;0;0;0;0;0;0;0;0
26.06.2024;22:25;A 19;1;2;30;0;0;0;0;0;0;0;0;0;0;0;0
26.06.2024;22:24;A 19;1;1;13;4;4;0;0;0;0;0;0;0;0;1;2
26.06.2024;22:23;A 19;1;0;0;1;4;0;0;0;0;0;0;0;0;0;0
26.06.2024;22:22;A 19;1;0;0;0;0;1;34;0;0;1;2;0;0;0;0
26.06.2024;22:21;A 19;1;2;78;2;34;0;0;0;0;0;0;0;0;0;0
26.06.2024;22:20;A 19;1;1;3;1;1;1;1;0;0;0;0;0;0;0;0
26.06.2024;22:19;A 19;1;2;75;2;79;0;0;0;0;0;0;0;0;0;0
26.06.2024;22:18;A 19;1;0;2;4;10;0;0;0;0;0;0;0;0;0;0
26.06.2024;22:17;A 19;1;1;82;1;1;0;0;0;0;0;0;2;3;0;0
26.06.2024;22:16;A 19;1;3;74;0;0;0;0;0;0;0;0;0;0;0;0
26.06.2024;22:15;A 19;1;1;67;0;0;0;0;0;0;0;0;0;0;0;0
26.06.2024;22:14;A 19;1;1;34;0;26;0;25;0;0;0;0;0;0;2;1
26.06.2024;22:13;A 19;1;1;31;1;62;1;24;0;0;0;0;0;0;0;0
26.06.2024;22:12;A 19;1;0;0;1;79;1;85;0;0;0;0;1;2;0;0
26.06.2024;22:11;A 19;1;0;0;1;18;0;0;0;0;0;0;0;0;1;3
26.06.2024;22:10;A 19;1;0;0;0;54;0;0;0;0;0;0;0;0;0;0
26.06.2024;22:09;A 19;1;0;0;1;54;0;0;0;0;1;1;0;0;0;0
26.06.2024;22:08;A 19;1;1;2;2;1;0;0;0;0;0;0;0;0;0;0
26.06.2024;22:07;A 19;1;2;62;1;36;0;0;0;0;0;0;1;3;0;0
26.06.2024;22:06;A 19;1;1;83;0;0;0;0;0;0;2;4;2;3;0;0
26.06.2024;22:05;A 19;1;1;14;0;0;0;0;0;0;0;0;0;0;0;0
26.06.2024;22:04;A 19;1;1;96;0;0;0;0;0;0;0;0;0;0;1;1
26.06.2024;22:03;A 19;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0
26.06.2024;22:02;A 19;1;1;11;2;5;1;1;0;0;0;0;0;0;0;0
26.06.2024;22:01;A 19;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0
26.06.2024;22:00;A 19;1;2;33;0;0;0;0;0;0;0;0;0;0;0;0
26.06.2024;21:59;A 19;1;1;52;0;0;0;0;4;2;1;1;0;0;0;0
26.06.2024;21:58;A 19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26.06.2024;21:57;A 19;1;2;50;0;0;0;0;0;0;0;1;0;0;0;0
26.06.2024;21:56;A 19;1;1;52;0;0;0;0;0;0;1;1;0;0;0;0
26.06.2024;21:55;A 19;1;0;0;0;0;2;52;0;0;0;0;0;0;1;1
26.06.2024;21:54;A 19;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0
26.06.2024;21:53;A 19;1;1;38;0;0;0;0;0;0;0;0;0;0;0;0
26.06.2024;21:52;A 19;1;1;2;2;8;0;0;0;0;0;0;0;0;2;2
26.06.2024;21:51;A 19;1;2;4;1;1;0;0;0;0;0;0;0;0;0;0
26.06.2024;21:50;A 19;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0
26.06.2024;21:49;A 19;1;0;0;0;8;1;61;0;0;0;0;0;0;1;2
26.06.2024;21:48;A 19;1;1;17;1;3;1;26;0;0;0;0;0;0;0;0
26.06.2024;21:47;A 19;1;1;59;0;0;0;0;0;0;1;2;0;0;0;0
26.06.2024;21:46;A 19;1;0;0;0;0;2;3;0;0;0;0;0;0;0;0
26.06.2024;21:45;A 19;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0
26.06.2024;21:44;A 19;1;0;40;2;43;1;1;0;0;0;0;0;0;0;0
26.06.2024;21:43;A 19;1;2;6;1;15;0;0;0;0;0;0;0;0;0;0
26.06.2024;21:42;A 19;1;2;58;1;1;0;0;0;0;0;0;0;0;0;0
26.06.2024;21:41;A 19;1;2;86;0;0;0;60;0;0;0;0;1;2;0;0
26.06.2024;21:40;A 19;1;1;28;0;0;1;45;0;0;0;0;0;0;0;0
26.06.2024;21:39;A 19;1;1;76;2;50;1;47;0;0;0;0;0;0;0;0
26.06.2024;21:38;A 19;1;1;38;0;0;0;0;0;0;0;0;0;0;0;0
26.06.2024;21:37;A 19;1;1;3;0;0;2;14;0;0;0;0;0;0;0;0
26.06.2024;21:36;A 19;1;3;16;1;47;1;2;0;0;0;0;0;0;0;0
26.06.2024;21:35;A 19;1;1;53;1;10;1;5;1;1;0;0;0;0;1;2
26.06.2024;21:34;A 19;1;1;36;2;35;0;12;0;0;0;0;0;0;0;0
26.06.2024;21:33;A 19;1;0;0;3;23;1;23;0;0;0;0;0;0;1;2
26.06.2024;21:32;A 19;1;0;29;1;69;0;0;0;0;0;0;0;0;0;0
26.06.2024;21:31;A 19;1;1;30;2;69;0;0;0;0;0;0;0;0;0;0
26.06.2024;21:30;A 19;1;0;40;2;27;1;1;0;0;0;0;0;0;0;0
26.06.2024;21:29;A 19;1;1;14;0;55;0;0;0;0;0;0;0;0;0;0
26.06.2024;21:28;A 19;1;1;0;2;59;0;0;0;0;0;0;1;1;0;0
26.06.2024;21:27;A 19;1;1;63;4;16;0;0;0;0;0;0;0;0;0;0
26.06.2024;21:26;A 19;1;1;41;0;0;0;0;0;0;0;0;0;0;0;0
26.06.2024;21:25;A 19;1;1;73;2;37;1;77;0;0;0;0;0;0;0;0
26.06.2024;21:24;A 19;1;5;19;1;2;0;0;0;0;1;1;1;3;1;1
26.06.2024;21:23;A 19;1;2;2;0;0;1;47;0;38;1;1;0;0;0;0
26.06.2024;21:22;A 19;1;2;27;1;2;0;0;1;52;0;0;0;0;1;4
26.06.2024;21:21;A 19;1;1;4;2;52;1;43;0;0;0;0;0;0;0;0
