Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D13Z;D13B;D21Z;D21B;D22Z;D22B;D31Z;D31B;D32Z;D32B;D33Z;D33B;D41Z;D41B;D42Z;D42B;D28Z;D28B;D29Z;D29B;D70Z;D70B;H53-Bahn_M1_Z;H53-Bahn_M1_B;A53-Bahn_M2_Z;A53-Bahn_M2_B;H53-Bus_M3_Z;H53-Bus_M3_B;A53-Bus_M4_Z;A53-Bus_M4_B;STRAB_53dZ;STRAB_53dB;STRAB_57dZ;STRAB_57dB;Anf_32Z;Anf_32B;Anf_38Z;Anf_38B;FeuerwehrZ;FeuerwehrB
21.12.2024;00:21;A 12;1;2;3;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;1;13;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.12.2024;00:20;A 12;1;2;3;2;2;1;5;0;0;0;0;6;7;3;3;1;1;1;1;1;3;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.12.2024;00:19;A 12;1;2;2;1;1;3;5;0;0;0;0;2;2;2;2;0;0;2;3;1;69;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.12.2024;00:18;A 12;1;0;0;1;1;0;0;0;0;0;48;6;5;3;4;0;0;1;2;1;57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.12.2024;00:17;A 12;1;2;2;0;0;0;0;0;0;1;45;2;4;0;0;0;0;3;4;3;56;1;1;1;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0
21.12.2024;00:16;A 12;1;0;0;2;2;0;0;1;15;1;13;0;0;0;0;0;0;2;2;2;63;0;0;2;2;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;1;3
21.12.2024;00:15;A 12;1;2;2;5;5;0;51;1;56;1;55;6;8;4;5;0;0;1;1;2;51;2;2;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.12.2024;00:14;A 12;1;2;2;3;2;2;7;0;0;0;0;3;4;1;2;0;0;1;2;1;75;2;2;2;2;0;0;0;0;0;0;0;0;1;2;0;0;0;0;1;2;0;0;0;0
21.12.2024;00:13;A 12;1;4;5;0;0;0;0;0;0;0;0;1;1;1;1;0;0;1;1;1;28;2;2;1;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0
21.12.2024;00:12;A 12;1;0;0;0;0;0;0;1;3;1;2;3;5;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.12.2024;00:11;A 12;1;4;5;1;1;1;1;1;20;1;17;1;1;1;2;0;0;1;1;0;44;3;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.12.2024;00:10;A 12;1;5;7;3;4;1;43;1;7;2;4;1;1;0;0;0;0;1;2;1;60;1;1;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.12.2024;00:09;A 12;1;1;1;2;1;0;0;0;0;0;0;4;9;1;1;0;0;0;0;1;6;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.12.2024;00:08;A 12;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;1;0;0;1;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.12.2024;00:07;A 12;1;3;4;4;3;1;0;2;91;64;34;4;8;2;31;2;3;1;1;1;10;2;2;3;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.12.2024;00:06;A 12;1;3;3;1;1;1;1;0;0;0;0;6;8;3;6;0;0;0;0;1;51;2;2;3;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.12.2024;00:05;A 12;1;0;0;0;0;0;0;0;0;1;59;1;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.12.2024;00:04;A 12;1;2;3;0;0;0;0;0;0;0;0;2;3;0;0;0;0;2;2;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.12.2024;00:03;A 12;1;0;0;1;1;1;22;0;0;0;0;2;1;2;3;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.12.2024;00:02;A 12;1;0;0;0;0;2;1;0;11;1;0;5;6;3;3;1;1;2;1;1;13;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.12.2024;00:01;A 12;1;1;1;1;0;0;0;1;94;5;1;2;3;1;1;0;2;0;0;1;69;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3
21.12.2024;00:00;A 12;1;2;2;3;2;1;6;0;0;0;0;8;6;4;5;2;46;2;2;1;30;3;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.12.2024;23:59;A 12;1;3;3;4;3;1;34;2;38;1;0;1;1;0;0;0;0;1;2;1;49;2;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.12.2024;23:58;A 12;1;0;0;1;1;1;0;0;0;0;67;4;5;3;6;1;41;0;0;2;40;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.12.2024;23:57;A 12;1;0;0;0;0;1;9;0;0;1;73;2;2;0;0;1;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.12.2024;23:56;A 12;1;2;3;2;2;1;1;0;0;0;0;2;2;0;0;1;1;1;1;1;2;3;3;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3
20.12.2024;23:55;A 12;1;0;0;2;1;1;1;1;87;0;0;1;1;1;1;0;0;1;3;2;59;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.12.2024;23:54;A 12;1;0;0;1;1;0;1;0;0;0;0;7;7;2;3;0;0;1;2;1;12;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;2;1;2;0;0;0;0;0;0
